run,K_1_tau,K_1_K_used,K_1_N,K_1_n_in,K_1_f_best_tau,K_1_err_best_tau,K_1_depth_into_Ain,K_1_gap_med,K_1_gap_q80,K_1_gap_le_5,K_1_gap_le_10,K_1_r50,K_1_r80,K_1_tight,K_1_beta_r,K_5_tau,K_5_K_used,K_5_N,K_5_n_in,K_5_f_best_tau,K_5_err_best_tau,K_5_depth_into_Ain,K_5_gap_med,K_5_gap_q80,K_5_gap_le_5,K_5_gap_le_10,K_5_r50,K_5_r80,K_5_tight,K_5_beta_r,K_10pctN_tau,K_10pctN_K_used,K_10pctN_N,K_10pctN_n_in,K_10pctN_f_best_tau,K_10pctN_err_best_tau,K_10pctN_depth_into_Ain,K_10pctN_gap_med,K_10pctN_gap_q80,K_10pctN_gap_le_5,K_10pctN_gap_le_10,K_10pctN_r50,K_10pctN_r80,K_10pctN_tight,K_10pctN_beta_r,K_25pctN_tau,K_25pctN_K_used,K_25pctN_N,K_25pctN_n_in,K_25pctN_f_best_tau,K_25pctN_err_best_tau,K_25pctN_depth_into_Ain,K_25pctN_gap_med,K_25pctN_gap_q80,K_25pctN_gap_le_5,K_25pctN_gap_le_10,K_25pctN_r50,K_25pctN_r80,K_25pctN_tight,K_25pctN_beta_r
0,inf,,,,,,,,,,,,,,,inf,,,,,,,,,,,,,,,inf,,,,,,,,,,,,,,,inf,,,,,,,,,,,,,,
1,222.0,1.0,122.0,1.0,3398.873965818858,398.87396581885787,0.13344801022685715,6.465099497817846,10.033833470308764,0.2975206611570248,0.7933884297520661,3.725501049244122,4.736766615354124,0.786507200326905,0.8278688524590164,228.0,5.0,120.0,5.0,3398.4518236874537,398.4518236874537,0.5555901416310007,3.717218015753133,5.728940199191494,0.7391304347826086,0.9478260869565217,3.239498634746043,4.426541559485736,0.7318351338651837,0.875,232.0,12.0,119.0,12.0,3397.7094799296137,397.70947992961374,1.2979338994709906,2.1872736700679525,3.9717177644754895,0.9532710280373832,1.0,2.5779820820375274,3.378694396676453,0.7630113231233436,0.9915966386554622,236.0,30.0,119.0,32.0,3395.52921741716,395.52921741716,3.4781964119247277,1.4663497492733768,2.651269912449151,1.0,1.0,1.8545392234816525,2.400952357615419,0.7724181688151223,1.0
2,inf,,,,,,,,,,,,,,,inf,,,,,,,,,,,,,,,inf,,,,,,,,,,,,,,,inf,,,,,,,,,,,,,,
3,inf,,,,,,,,,,,,,,,inf,,,,,,,,,,,,,,,inf,,,,,,,,,,,,,,,inf,,,,,,,,,,,,,,
4,219.0,1.0,122.0,1.0,3398.999281893995,398.999281893995,0.008131935089750186,6.863097967262547,10.813488551632418,0.23140495867768596,0.7355371900826446,3.429806038153054,4.403865903772941,0.7788170923221398,0.860655737704918,228.0,5.0,120.0,9.0,3397.5843867566937,397.5843867566937,1.4230270723910508,3.255962202190858,4.945806731919674,0.8018018018018018,1.0,2.601490145335835,3.370105125855578,0.7719314526354389,0.9833333333333333,230.0,12.0,120.0,12.0,3397.5843867566937,397.5843867566937,1.4230270723910508,2.555063921357714,4.1795419718946505,0.8333333333333334,1.0,2.509887207120827,3.286068538024454,0.7637963658024437,0.9916666666666667,236.0,30.0,119.0,30.0,3397.5058536669558,397.5058536669558,1.5015601621289534,1.545765282915454,2.988595742337748,0.9662921348314607,1.0,1.718921559209849,2.4230291543467066,0.7094101844075013,1.0
5,inf,,,,,,,,,,,,,,,inf,,,,,,,,,,,,,,,inf,,,,,,,,,,,,,,,inf,,,,,,,,,,,,,,
6,223.0,1.0,121.0,1.0,3398.9909383804984,398.9909383804984,0.016475448586334096,6.470997250707342,10.60561190314229,0.375,0.7583333333333333,3.105181103058924,4.421623669789379,0.7022716845567359,0.8347107438016529,225.0,5.0,121.0,6.0,3397.734869923594,397.73486992359403,1.2725439054906929,5.044879728612614,8.064720570252394,0.4956521739130435,0.8695652173913043,2.6589938605175094,4.310567874462968,0.6168546553390672,0.8677685950413223,229.0,12.0,120.0,13.0,3397.511206336,397.5112063360002,1.496207493084512,3.3626005484256893,5.955269201248853,0.7476635514018691,0.9719626168224299,2.380724885983607,3.4084918525644317,0.6984687037442768,0.9583333333333334,235.0,30.0,119.0,32.0,3397.2386458795645,397.2386458795645,1.7687679495202246,1.3721515827146504,2.9424872014436914,0.9540229885057471,1.0,1.952319260547337,3.0233184903793986,0.6457537526264191,1.0
7,220.0,1.0,122.0,1.0,3397.231812252409,397.2318122524089,1.7756015766758537,6.972784615241835,13.349195848578802,0.3140495867768595,0.6859504132231405,2.9235409945449593,5.511336986825166,0.5304594876948506,0.7459016393442623,227.0,5.0,120.0,6.0,3397.231812252409,397.2318122524089,1.7756015766758537,3.6253434700131493,6.390017821053334,0.7192982456140351,0.8508771929824561,2.3374551190835704,3.4572647916875505,0.6760995353042132,0.9,231.0,12.0,120.0,14.0,3397.231812252409,397.2318122524089,1.7756015766758537,2.3616963561014472,4.081624851480228,0.8490566037735849,0.9339622641509434,1.9850639694265872,2.819492628170285,0.7040500654597555,0.9416666666666667,234.0,30.0,119.0,30.0,3396.4573222747754,396.4573222747754,2.550091554309347,1.6547378603504512,3.1981651974603684,0.9325842696629213,0.9550561797752809,2.0387410817818687,2.690028067545558,0.7578884050983387,0.9747899159663865
8,226.0,1.0,121.0,1.0,3397.6667718462136,397.6667718462136,1.3406419828711478,7.00678805956295,9.889388367824905,0.275,0.8083333333333333,3.2755856357526456,4.606109944090429,0.7111392640453955,0.8429752066115702,234.0,5.0,119.0,5.0,3397.6667718462136,397.6667718462136,1.3406419828711478,2.9717790043573586,4.787712039253621,0.8157894736842105,1.0,2.4687795571515796,3.2702998065487625,0.7549092447756192,0.9915966386554622,241.0,12.0,118.0,12.0,3397.473653432719,397.47365343271895,1.5337603963657784,1.60014069349495,2.8165814962753757,0.9811320754716981,1.0,2.914474046975778,3.81756155947527,0.7634386509739419,0.9745762711864406,245.0,30.0,117.0,34.0,3397.3461116015296,397.3461116015296,1.6613022275550975,1.3198730086965043,2.3670958235582478,1.0,1.0,2.0148701034850496,2.6201670332647398,0.7689853654003548,1.0
9,216.0,1.0,123.0,1.0,3398.7758943717013,398.77589437170127,0.23151945738345603,5.983243586206299,7.960840957511027,0.4180327868852459,0.9180327868852459,2.727845078983737,3.7527584883246146,0.7268906558923165,0.967479674796748,221.0,5.0,122.0,7.0,3397.0594146070976,397.05941460709755,1.9479992219871747,3.7023915373074487,6.409187754378581,0.6782608695652174,0.9652173913043478,3.350928087969919,4.538093415532611,0.7383999801548023,0.8852459016393442,226.0,13.0,121.0,14.0,3397.0594146070976,397.05941460709755,1.9479992219871747,2.331498919241767,4.120774662882013,0.8504672897196262,0.9906542056074766,2.8477812782049896,3.7546609807205646,0.7584656225496199,0.9669421487603306,230.0,30.0,120.0,31.0,3396.839541680349,396.83954168034916,2.1678721487355688,1.7767799616581215,3.3463799625898902,0.9550561797752809,1.0,2.414500005074059,3.2618915006708082,0.7402146897214443,0.9916666666666667
