function,dim,runs,N_init,N_min,best_mean,best_median,best_std,best_min,best_max,error_mean,error_median,final_pop_mean,final_pop_min,final_pop_max,wall_total
cec2017_f1,10,51,180.0,4,100.0,100.0,0.0,100.0,100.0,0.0,0.0,4.0,4,4,1005.1039729677141
cec2017_f2,10,51,180.0,4,200.0,200.0,0.0,200.0,200.0,0.0,0.0,4.0,4,4,1005.1039729677141
cec2017_f3,10,51,180.0,4,300.0,300.0,0.0,300.0,300.0,0.0,0.0,4.0,4,4,1005.1039729677141
cec2017_f4,10,51,180.0,4,400.0,400.0,0.0,400.0,400.0,0.0,0.0,4.0,4,4,1005.1039729677141
cec2017_f5,10,51,180.0,4,502.9083341929102,502.9856618789904,0.8775540869493156,500.9954569388921,504.97522585879994,2.9083341929102087,2.9856618789904132,4.0,4,4,1005.1039729677141
cec2017_f6,10,51,180.0,4,600.0000000278652,600.0000000000001,1.970364805346962e-07,600.0,600.0000014211236,2.7865241338754547e-08,1.1368683772161603e-13,4.0,4,4,1005.1039729677141
cec2017_f7,10,51,180.0,4,712.2694386566246,712.3655631332601,0.6898832675479402,710.598069322028,714.6431159233249,12.269438656624613,12.365563133260139,4.0,4,4,1005.1039729677141
cec2017_f8,10,51,180.0,4,802.6749559718601,802.9851500088079,0.7737916846666332,800.9965607469414,804.9750137156043,2.6749559718599807,2.9851500088078637,4.0,4,4,1005.1039729677141
cec2017_f9,10,51,180.0,4,900.0,900.0,0.0,900.0,900.0,0.0,0.0,4.0,4,4,1005.1039729677141
cec2017_f10,10,51,180.0,4,1031.9426916423693,1015.2022894628235,43.821696040714386,1000.4785396514899,1137.0656724753353,31.94269164236943,15.2022894628235,4.0,4,4,1005.1039729677141
cec2017_f11,10,51,180.0,4,1100.5064681765111,1100.0,0.7619313347511227,1100.0,1102.087015691217,0.5064681765109428,0.0,4.0,4,4,1005.1039729677141
cec2017_f12,10,51,180.0,4,1253.4390968555203,1211.1729932668732,63.49366142861016,1200.0000381826985,1437.08485039622,53.439096855520376,11.172993266873164,4.0,4,4,1005.1039729677141
cec2017_f13,10,51,180.0,4,1303.9173721069608,1305.9511134754835,2.8868516755371054,1300.0,1306.5081018299281,3.9173721069606007,5.951113475483453,4.0,4,4,1005.1039729677141
cec2017_f14,10,51,180.0,4,1400.5825096880862,1400.0273445092052,2.7693770989084263,1400.0,1420.0066788224485,0.582509688086136,0.02734450920524978,4.0,4,4,1005.1039729677141
cec2017_f15,10,51,180.0,4,1500.1628541295988,1500.0301598911194,0.19853035170863947,1500.000130352996,1500.4999999968882,0.16285412959868886,0.03015989111941053,4.0,4,4,1005.1039729677141
cec2017_f16,10,51,180.0,4,1600.3552742790582,1600.3403947687104,0.1696659105397285,1600.015925653164,1600.7476697821253,0.35527427905822595,0.34039476871043917,4.0,4,4,1005.1039729677141
cec2017_f17,10,51,180.0,4,1700.1724483221005,1700.0769397574966,0.1946748264645466,1700.0050460379694,1701.038075851874,0.17244832210034403,0.07693975749657511,4.0,4,4,1005.1039729677141
cec2017_f18,10,51,180.0,4,1800.657758749716,1800.3648002764653,2.764923638369444,1800.0001435592737,1820.1497674206807,0.6577587497162286,0.3648002764653029,4.0,4,4,1005.1039729677141
cec2017_f19,10,51,180.0,4,1900.010518388391,1900.0097297853613,0.019014371899450936,1900.0000007993592,1900.1340905144195,0.010518388391217598,0.009729785361287213,4.0,4,4,1005.1039729677141
cec2017_f20,10,51,180.0,4,2000.0000334887561,2000.0000254551335,3.967038209387946e-05,2000.0000254551323,2000.0003095681593,3.348875615230616e-05,2.5455133481955272e-05,4.0,4,4,1005.1039729677141
cec2017_f21,10,51,180.0,4,2248.193836916937,2214.458030157901,50.18247638763998,2200.0,2305.1465892048063,148.1938369169373,114.4580301579008,4.0,4,4,1005.1039729677141
cec2017_f22,10,51,180.0,4,2296.078431372549,2300.0000000000005,19.410774385513086,2200.0,2300.0000000000005,96.0784313725493,100.00000000000045,4.0,4,4,1005.1039729677141
cec2017_f23,10,51,180.0,4,2603.818642638391,2604.113935833533,1.3847154646188662,2600.019003510535,2606.292022010843,303.8186426383908,304.1139358335331,4.0,4,4,1005.1039729677141
cec2017_f24,10,51,180.0,4,2696.6991084342626,2731.7008991428534,91.92630531988208,2400.0000000000005,2733.92717534347,296.69910843426237,331.70089914285336,4.0,4,4,1005.1039729677141
cec2017_f25,10,51,180.0,4,2907.937771904596,2898.0089894405774,18.925358073859908,2898.0089894405774,2945.801968981773,407.937771904597,398.00898944057735,4.0,4,4,1005.1039729677141
cec2017_f26,10,51,180.0,4,2900.0,2900.0,6.367736587108128e-14,2900.0,2900.0000000000005,300.0,300.0,4.0,4,4,1005.1039729677141
cec2017_f27,10,51,180.0,4,3089.4576166523875,3089.51790623097,0.16510981085780121,3089.005444813027,3089.51790623097,389.4576166523883,389.51790623096986,4.0,4,4,1005.1039729677141
cec2017_f28,10,51,180.0,4,3147.260984748602,3100.0,109.70236107835672,3100.0,3411.82166588004,347.2609847486024,300.0,4.0,4,4,1005.1039729677141
cec2017_f29,10,51,180.0,4,3135.1688046043937,3134.3219316455543,3.3399587679847818,3128.3682560851066,3149.011635427753,235.16880460439353,234.3219316455543,4.0,4,4,1005.1039729677141
cec2017_f30,10,51,180.0,4,3408.491051633487,3394.0074138290847,23.992307708637608,3394.0074138290847,3463.6421013095915,408.4910516334866,394.0074138290847,4.0,4,4,1005.1039729677141
