eps,n_hits,tau_first,tau_median,tau_max,tail_start,p_hat,p_lcb,a_env,clustering,L2_rate,L3_rate,gamma,N_tau_median,n_clust_med_r10,beta1_med_r10,diameter_med_r10
0.01,51,225.0,242.0,262.0,225.0,0.05561735261401557,0.04358875921368557,0.013515170267812016,0.6776738634077046,0.9735454029051367,1.0,0.9735454029051367,117.0,117.0,1.0,0.333133930572059
1.0,51,192.0,204.0,223.0,192.0,0.0708215297450425,0.05559254914360309,0.013515170267812016,0.6092501834367942,0.9687948693404805,1.0,0.9687948693404805,125.0,125.0,1.0,3.2746803825323725
10.0,51,171.0,186.0,209.0,171.0,0.05917159763313609,0.04639140840342443,0.008131160717433694,0.44610281074078306,0.9657383079348397,1.0,0.9657383079348397,129.0,129.0,1.0,10.146109745893165
100.0,51,152.0,169.0,189.0,152.0,0.0556792873051225,0.04363757901070093,0.006780573220505293,0.4493190705875161,0.9620886149552274,1.0,0.9620886149552274,133.0,118.0,0.8939393939393939,18.97947634601182
400.0,51,146.0,158.0,176.0,146.0,0.07451564828614009,0.05851492436403976,0.006711611620731306,0.48038446141526137,0.9595834366476569,1.0,0.9595834366476569,136.0,92.0,0.6764705882352942,19.33205182974236
