eps,g2g3_r0.5,g2g3_r1.0,g2g3_r2.0,g2g3_r5.0,g2g3_r10.0,g2g3_r20.0
0.01,1.0,1.0,1.0,1.0,1.0,1.0
1.0,1.0,1.0,1.0,1.0,1.0,1.0
10.0,1.0,1.0,1.0,1.0,1.0,1.0
100.0,0.9803921568627451,1.0,1.0,1.0,1.0,1.0
400.0,0.7843137254901961,0.9411764705882353,0.9803921568627451,1.0,1.0,1.0
