eps,n_hits,tau_first,tau_median,tau_max,p_hat,clustering
0.01,0,,,,,
1.0,51,553.0,696.0,893.0,0.0014195451888551786,1.2874158016611346
10.0,51,67.0,232.0,317.0,0.0043840797730594,2.002798042739207
100.0,51,5.0,64.0,124.0,0.01652089407191448,1.3494919234217568
400.0,51,2.0,11.0,22.0,0.08869565217391304,1.5811388300841895
