function,eps,f_star,n_hits,hit_rate,tau_first,tau_median,tau_max,p_hat,clustering,l2_rate,l3_rate,gamma,F_minus,F_plus,Delta_F,F_mean,n_success_F,g2g3_r0.5,beta1_r0.5,g2g3_r1.0,beta1_r1.0,g2g3_r2.0,beta1_r2.0,g2g3_r5.0,beta1_r5.0,g2g3_r10.0,beta1_r10.0,g2g3_r20.0,beta1_r20.0,N_tau_median,N_tau_min,N_tau_max
cec2017_f16,0.01,1600.0,0,0.0,,,,,,0.6449657497009894,0.2142093436265449,0.1580044217317241,0.023592734979863094,1.0,0.9764072650201369,0.5119008545046405,323786,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,,,
cec2017_f16,1.0,1600.0,51,1.0,553.0,696.0,893.0,0.0014195451888551786,1.2874158016611346,0.7616834135886659,0.6109889498149025,0.44921646672419074,0.06476666010548998,1.0,0.9352333398945101,0.575463957021449,237001,0.0,0.018867924528301886,0.0,0.018867924528301886,0.0,0.018867924528301886,0.0,0.018867924528301886,0.0196078431372549,0.018867924528301886,0.43137254901960786,0.05660377358490566,53.0,37.0,68.0
cec2017_f16,10.0,1600.0,51,1.0,67.0,232.0,317.0,0.0043840797730594,2.002798042739207,0.6564944554285224,0.9441244734806155,0.6219375913349953,0.10894105043160004,1.0,0.8910589495683999,0.6193762862322457,116979,0.0,0.008403361344537815,0.0,0.008403361344537815,0.0,0.008403361344537815,0.0,0.008403361344537815,0.0,0.008403361344537815,0.0,0.008403361344537815,119.0,103.0,160.0
cec2017_f16,100.0,1600.0,51,1.0,5.0,64.0,124.0,0.01652089407191448,1.3494919234217568,0.4376417233560091,1.0,0.4376417233560091,0.22863634631522212,1.0,0.7713636536847779,0.6419778998622794,61535,0.0,0.006211180124223602,0.0,0.006211180124223602,0.0,0.006211180124223602,0.0,0.006211180124223602,0.0,0.006211180124223602,0.0,0.006211180124223602,161.0,144.0,178.0
cec2017_f16,400.0,1600.0,51,1.0,2.0,11.0,22.0,0.08869565217391304,1.5811388300841895,0.8191304347826087,1.0,0.8191304347826087,0.23566079932351014,1.0,0.7643392006764899,0.5934072199700137,33159,0.0,0.005681818181818182,0.0,0.005681818181818182,0.0,0.005681818181818182,0.0,0.005681818181818182,0.0,0.005681818181818182,0.0,0.005681818181818182,176.0,173.0,179.0
