run,tau,tau_out,hit,hit_out,n_at_risk,G2G3_rate,G4_rate,G5_rate,Ghat_rate,gamma0_mean,any_G4,any_Ghat,any_gamma0_pos,tau_G2G3_first,tau_G4_first,tau_G5_first,tau_Ghat_first,tau_G2G3_stable,tau_G4_stable,tau_G5_stable,tau_Ghat_stable,T_conc_5,T_conc_10,T_conc_20,delta_5,delta_10,delta_20,phase1_duration,phase2_duration,phase_ratio,Twit
0,94.0,68.0,True,True,94,0.0,0.2765957446808511,1.0,0.0,0.0,True,False,False,inf,68.0,0.0,inf,inf,68.0,0.0,inf,inf,inf,inf,,,,,,,inf
1,104.0,76.0,True,True,104,0.0,0.2692307692307692,1.0,0.0,0.0,True,False,False,545.0,76.0,0.0,545.0,inf,76.0,0.0,inf,545.0,545.0,545.0,-441.0,-441.0,-441.0,,,,inf
2,95.0,62.0,True,True,95,0.0,0.3473684210526316,1.0,0.0,0.0,True,False,False,724.0,62.0,0.0,724.0,inf,62.0,0.0,inf,724.0,724.0,724.0,-629.0,-629.0,-629.0,,,,inf
3,133.0,85.0,True,True,133,0.0,0.3609022556390977,1.0,0.0,0.0,True,False,False,inf,85.0,0.0,inf,inf,85.0,0.0,inf,inf,inf,inf,,,,,,,inf
4,105.0,63.0,True,True,105,0.0,0.4,1.0,0.0,0.0,True,False,False,599.0,63.0,0.0,599.0,inf,63.0,0.0,inf,632.0,632.0,632.0,-527.0,-527.0,-527.0,,,,inf
5,90.0,70.0,True,True,90,0.0,0.2222222222222222,1.0,0.0,0.0,True,False,False,710.0,70.0,0.0,710.0,inf,70.0,0.0,inf,710.0,710.0,710.0,-620.0,-620.0,-620.0,,,,inf
6,97.0,80.0,True,True,97,0.0,0.17525773195876287,1.0,0.0,0.0,True,False,False,inf,80.0,0.0,inf,inf,80.0,0.0,inf,inf,inf,inf,,,,,,,inf
7,92.0,70.0,True,True,92,0.0,0.2391304347826087,1.0,0.0,0.0,True,False,False,inf,70.0,0.0,inf,inf,70.0,0.0,inf,inf,inf,inf,,,,,,,inf
8,96.0,77.0,True,True,96,0.0,0.19791666666666666,1.0,0.0,0.0,True,False,False,653.0,77.0,0.0,653.0,inf,77.0,0.0,inf,714.0,714.0,714.0,-618.0,-618.0,-618.0,,,,inf
9,98.0,87.0,True,True,98,0.0,0.11224489795918367,1.0,0.0,0.0,True,False,False,inf,87.0,0.0,inf,inf,87.0,0.0,inf,inf,inf,inf,,,,,,,inf
10,106.0,70.0,True,True,106,0.0,0.33962264150943394,1.0,0.0,0.0,True,False,False,1193.0,70.0,0.0,inf,inf,70.0,0.0,inf,1193.0,1193.0,1193.0,-1087.0,-1087.0,-1087.0,,,,inf
11,98.0,79.0,True,True,98,0.0,0.19387755102040816,1.0,0.0,0.0,True,False,False,inf,79.0,0.0,inf,inf,79.0,0.0,inf,inf,inf,inf,,,,,,,inf
12,106.0,75.0,True,True,106,0.0,0.29245283018867924,1.0,0.0,0.0,True,False,False,633.0,75.0,0.0,633.0,inf,75.0,0.0,inf,633.0,633.0,633.0,-527.0,-527.0,-527.0,,,,inf
13,97.0,69.0,True,True,97,0.0,0.28865979381443296,1.0,0.0,0.0,True,False,False,506.0,69.0,0.0,506.0,inf,69.0,0.0,inf,506.0,506.0,506.0,-409.0,-409.0,-409.0,,,,inf
14,97.0,69.0,True,True,97,0.0,0.28865979381443296,1.0,0.0,0.0,True,False,False,796.0,69.0,0.0,inf,inf,69.0,0.0,inf,796.0,796.0,796.0,-699.0,-699.0,-699.0,,,,inf
15,100.0,74.0,True,True,100,0.0,0.26,1.0,0.0,0.0,True,False,False,859.0,74.0,0.0,inf,inf,74.0,0.0,inf,inf,inf,inf,,,,,,,inf
16,91.0,70.0,True,True,91,0.0,0.23076923076923078,1.0,0.0,0.0,True,False,False,inf,70.0,0.0,inf,inf,70.0,0.0,inf,inf,inf,inf,,,,,,,inf
17,94.0,72.0,True,True,94,0.0,0.23404255319148937,1.0,0.0,0.0,True,False,False,inf,72.0,0.0,inf,inf,72.0,0.0,inf,inf,inf,inf,,,,,,,inf
18,100.0,69.0,True,True,100,0.0,0.31,1.0,0.0,0.0,True,False,False,729.0,69.0,0.0,729.0,inf,69.0,0.0,inf,729.0,729.0,729.0,-629.0,-629.0,-629.0,,,,inf
19,101.0,70.0,True,True,101,0.0,0.3069306930693069,1.0,0.0,0.0,True,False,False,589.0,70.0,0.0,589.0,inf,70.0,0.0,inf,631.0,631.0,631.0,-530.0,-530.0,-530.0,,,,inf
20,98.0,79.0,True,True,98,0.0,0.19387755102040816,1.0,0.0,0.0,True,False,False,545.0,79.0,0.0,545.0,inf,79.0,0.0,inf,545.0,545.0,545.0,-447.0,-447.0,-447.0,,,,inf
21,97.0,72.0,True,True,97,0.0,0.25773195876288657,1.0,0.0,0.0,True,False,False,860.0,72.0,0.0,inf,inf,72.0,0.0,inf,inf,inf,inf,,,,,,,inf
22,104.0,73.0,True,True,104,0.0,0.2980769230769231,1.0,0.0,0.0,True,False,False,644.0,73.0,0.0,644.0,inf,73.0,0.0,inf,644.0,644.0,677.0,-540.0,-540.0,-573.0,,,,734.0
23,109.0,73.0,True,True,109,0.0,0.3302752293577982,1.0,0.0,0.0,True,False,False,634.0,73.0,0.0,634.0,inf,73.0,0.0,inf,640.0,640.0,640.0,-531.0,-531.0,-531.0,,,,inf
24,102.0,69.0,True,True,102,0.0,0.3235294117647059,1.0,0.0,0.0,True,False,False,493.0,69.0,0.0,493.0,inf,69.0,0.0,inf,493.0,493.0,493.0,-391.0,-391.0,-391.0,,,,inf
25,107.0,73.0,True,True,107,0.0,0.3177570093457944,1.0,0.0,0.0,True,False,False,816.0,73.0,0.0,820.0,inf,73.0,0.0,inf,816.0,816.0,816.0,-709.0,-709.0,-709.0,,,,inf
26,96.0,71.0,True,True,96,0.0,0.2604166666666667,1.0,0.0,0.0,True,False,False,inf,71.0,0.0,inf,inf,71.0,0.0,inf,inf,inf,inf,,,,,,,inf
27,111.0,78.0,True,True,111,0.0,0.2972972972972973,1.0,0.0,0.0,True,False,False,inf,78.0,0.0,inf,inf,78.0,0.0,inf,inf,inf,inf,,,,,,,inf
28,100.0,70.0,True,True,100,0.0,0.3,1.0,0.0,0.0,True,False,False,751.0,70.0,0.0,751.0,inf,70.0,0.0,inf,751.0,751.0,793.0,-651.0,-651.0,-693.0,,,,inf
29,104.0,73.0,True,True,104,0.0,0.2980769230769231,1.0,0.0,0.0,True,False,False,717.0,73.0,0.0,717.0,inf,73.0,0.0,inf,717.0,717.0,717.0,-613.0,-613.0,-613.0,,,,inf
30,117.0,72.0,True,True,117,0.0,0.38461538461538464,1.0,0.0,0.0,True,False,False,674.0,72.0,0.0,674.0,inf,72.0,0.0,inf,674.0,752.0,752.0,-557.0,-635.0,-635.0,,,,inf
31,106.0,84.0,True,True,106,0.0,0.20754716981132076,1.0,0.0,0.0,True,False,False,inf,84.0,0.0,inf,inf,84.0,0.0,inf,inf,inf,inf,,,,,,,inf
32,95.0,71.0,True,True,95,0.0,0.25263157894736843,1.0,0.0,0.0,True,False,False,inf,71.0,0.0,inf,inf,71.0,0.0,inf,inf,inf,inf,,,,,,,inf
33,102.0,70.0,True,True,102,0.0,0.3137254901960784,1.0,0.0,0.0,True,False,False,inf,70.0,0.0,inf,inf,70.0,0.0,inf,inf,inf,inf,,,,,,,inf
34,100.0,77.0,True,True,100,0.0,0.23,1.0,0.0,0.0,True,False,False,739.0,77.0,0.0,739.0,inf,77.0,0.0,inf,741.0,750.0,750.0,-641.0,-650.0,-650.0,,,,750.0
35,109.0,81.0,True,True,109,0.0,0.25688073394495414,1.0,0.0,0.0,True,False,False,inf,81.0,0.0,inf,inf,81.0,0.0,inf,inf,inf,inf,,,,,,,inf
36,84.0,63.0,True,True,84,0.0,0.25,1.0,0.0,0.0,True,False,False,719.0,63.0,0.0,719.0,inf,63.0,0.0,inf,778.0,778.0,778.0,-694.0,-694.0,-694.0,,,,inf
37,100.0,79.0,True,True,100,0.0,0.21,1.0,0.0,0.0,True,False,False,inf,79.0,0.0,inf,inf,79.0,0.0,inf,inf,inf,inf,,,,,,,inf
38,102.0,79.0,True,True,102,0.0,0.22549019607843138,1.0,0.0,0.0,True,False,False,718.0,79.0,0.0,718.0,inf,79.0,0.0,inf,718.0,718.0,718.0,-616.0,-616.0,-616.0,,,,718.0
39,97.0,72.0,True,True,97,0.0,0.25773195876288657,1.0,0.0,0.0,True,False,False,inf,72.0,0.0,inf,inf,72.0,0.0,inf,inf,inf,inf,,,,,,,inf
40,96.0,63.0,True,True,96,0.0,0.34375,1.0,0.0,0.0,True,False,False,984.0,63.0,0.0,inf,inf,63.0,0.0,inf,984.0,984.0,984.0,-888.0,-888.0,-888.0,,,,inf
41,106.0,79.0,True,True,106,0.0,0.25471698113207547,1.0,0.0,0.0,True,False,False,541.0,79.0,0.0,541.0,inf,79.0,0.0,inf,541.0,541.0,541.0,-435.0,-435.0,-435.0,,,,inf
42,105.0,74.0,True,True,105,0.0,0.29523809523809524,1.0,0.0,0.0,True,False,False,inf,74.0,0.0,inf,inf,74.0,0.0,inf,inf,inf,inf,,,,,,,inf
43,103.0,68.0,True,True,103,0.0,0.33980582524271846,1.0,0.0,0.0,True,False,False,inf,68.0,0.0,inf,inf,68.0,0.0,inf,inf,inf,inf,,,,,,,inf
44,107.0,75.0,True,True,107,0.0,0.29906542056074764,1.0,0.0,0.0,True,False,False,848.0,75.0,0.0,848.0,inf,75.0,0.0,inf,848.0,885.0,901.0,-741.0,-778.0,-794.0,,,,inf
45,113.0,68.0,True,True,113,0.0,0.39823008849557523,1.0,0.0,0.0,True,False,False,inf,68.0,0.0,inf,inf,68.0,0.0,inf,inf,inf,inf,,,,,,,inf
46,107.0,71.0,True,True,107,0.0,0.3364485981308411,1.0,0.0,0.0,True,False,False,735.0,71.0,0.0,735.0,inf,71.0,0.0,inf,735.0,735.0,735.0,-628.0,-628.0,-628.0,,,,inf
47,87.0,67.0,True,True,87,0.0,0.22988505747126436,1.0,0.0,0.0,True,False,False,675.0,67.0,0.0,675.0,inf,67.0,0.0,inf,698.0,698.0,698.0,-611.0,-611.0,-611.0,,,,inf
