eps,n_hits,N_tau_median,N_tau_min,N_tau_max,F_minus,F_plus,Delta_F
0.01,0,,,,0.006171401732292693,1.0,0.9938285982677073
1.0,2,16.5,15.0,18.0,0.006180439788522301,1.0,0.9938195602114777
10.0,51,106.0,92.0,132.0,0.0197429764804032,1.0,0.9802570235195968
100.0,51,179.0,178.0,180.0,0.23423350976480017,1.0,0.7657664902351998
400.0,51,180.0,180.0,180.0,,,
