eps,n_hits,tau_first,tau_median,tau_max,tail_start,p_hat,p_lcb,a_env,clustering,L2_rate,L3_rate,gamma,N_tau_median,n_clust_med_r10,beta1_med_r10,diameter_med_r10
0.01,0,,,,0.0,0.0,0.0,0.0,,0.5461006409036107,0.0769718890792563,0.03828197945845005,,,,
1.0,2,1311.0,1357.5,1404.0,1311.0,2.389886002437684e-05,1.225850511401872e-06,0.00021720981854711496,,0.5452613567367666,0.07811263822192784,0.03884933119905797,16.5,1.0,0.06111111111111111,0.0
10.0,51,177.0,297.0,377.0,177.0,0.008157937673356175,0.006362655838381186,0.0011656627872941305,0.8598671607846955,0.6357497517378351,0.5140681893412777,0.276266137040715,106.0,1.0,0.009433962264150943,0.0
100.0,51,0.0,3.0,5.0,0.0,0.24120603015075376,0.19195783353704135,0.08333333333333337,0.33333333333333337,1.0,1.0,1.0,179.0,1.0,0.00558659217877095,0.0
400.0,51,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,180.0,1.0,0.005555555555555556,0.0
