eps,n_hits,N_tau_median,N_tau_min,N_tau_max,F_minus,F_plus,Delta_F
0.01,0,,,,0.003980041859170648,1.0,0.9960199581408293
1.0,2,15.5,15.0,16.0,0.004001284389137882,1.0,0.9959987156108621
10.0,17,39.0,26.0,57.0,0.004601183919165928,1.0,0.995398816080834
100.0,42,73.0,8.0,96.0,0.01051140088114387,1.0,0.9894885991188561
400.0,51,106.0,73.0,140.0,0.06840665443213173,1.0,0.9315933455678682
