eps,n_hits,l2_rate,l3_rate,gamma
0.01,0,0.32352035083904174,0.039931499401978904,0.01522235511579863
1.0,2,0.3270999696755281,0.04049695376896428,0.015437912941198092
10.0,17,0.34891018477757835,0.0497443364599912,0.018963123497341777
100.0,42,0.46275095404015265,0.10445850814193273,0.039820806371329016
400.0,51,0.5334471213812119,0.27952471607693824,0.10851440950567846
