function,eps,f_star,n_hits,hit_rate,tau_first,tau_median,tau_max,p_hat,clustering,l2_rate,l3_rate,gamma,N_tau_median,N_tau_min,N_tau_max,F_minus,F_plus,Delta_F,F_mean,n_success_F,g2g3_r0.5,beta1_r0.5,g2g3_r1.0,beta1_r1.0,g2g3_r2.0,beta1_r2.0,g2g3_r5.0,beta1_r5.0,g2g3_r10.0,beta1_r10.0,g2g3_r20.0,beta1_r20.0
cec2017_f20,0.01,2000.0,51,1.0,857,1009.0,1099,0.0009953355842229551,1.639595272916881,0.1954370694197779,0.36158004644899394,0.08676984328343644,30.0,26,40,0.33841172101572714,1.0,0.6615882789842729,0.8085934363615626,401084,0.23529411764705882,0.09090909090909091,0.23529411764705882,0.09090909090909091,0.23529411764705882,0.09090909090909091,0.23529411764705882,0.09090909090909091,0.4117647058823529,0.10344827586206896,0.803921568627451,0.23529411764705882
cec2017_f20,1.0,2000.0,51,1.0,512,639.0,706,0.0015714549824366797,1.5826001494612327,0.11382264127688421,0.3361989277130708,0.03115178406359771,58.0,52,73,0.3631696163786778,1.0,0.6368303836213223,0.8186517342780886,277565,0.0,0.017241379310344827,0.0,0.017857142857142856,0.058823529411764705,0.031746031746031744,0.09803921568627451,0.03333333333333333,0.09803921568627451,0.03333333333333333,0.7254901960784313,0.09836065573770492
cec2017_f20,10.0,2000.0,51,1.0,277,376.0,425,0.002702559482804303,1.387950336238871,0.08192464628265593,0.5135392930952255,0.0412272799533676,93.0,85,110,0.36513636347166056,1.0,0.6348636365283394,0.8147401607892779,199382,0.0,0.010752688172043012,0.0,0.010752688172043012,0.0,0.010752688172043012,0.0,0.010869565217391304,0.0,0.010869565217391304,0.0,0.02040816326530612
cec2017_f20,100.0,2000.0,51,1.0,11,30.0,51,0.033819628647214856,1.369306393762915,0.34350132625994695,1.0,0.34350132625994695,170.0,164,176,0.2997878236452944,1.0,0.7002121763547056,0.6852250319331412,52837,0.0,0.0058823529411764705,0.0,0.0058823529411764705,0.0,0.0058823529411764705,0.0,0.0058823529411764705,0.0,0.0058823529411764705,0.0,0.0058823529411764705
cec2017_f20,400.0,2000.0,51,1.0,0,1.0,3,1.1590909090909092,3.958114029012639,1.0,1.0,1.0,179.0,179,180,0.23829778368562965,1.0,0.7617022163143703,0.5370076163303884,3948,0.0,0.00558659217877095,0.0,0.00558659217877095,0.0,0.00558659217877095,0.0,0.00558659217877095,0.0,0.00558659217877095,0.0,0.00558659217877095
