run,tau,tau_out,hit,hit_out,n_at_risk,G2G3_rate,G4_rate,G5_rate,Ghat_rate,gamma0_mean,any_G4,any_Ghat,any_gamma0_pos,tau_G2G3_first,tau_G4_first,tau_G5_first,tau_Ghat_first,tau_G2G3_stable,tau_G4_stable,tau_G5_stable,tau_Ghat_stable,T_conc_5,T_conc_10,T_conc_20,delta_5,delta_10,delta_20,phase1_duration,phase2_duration,phase_ratio,Twit
0,inf,96.0,False,True,2164,0.0,0.955637707948244,0.06700554528650647,0.0,0.0,True,False,False,inf,96.0,0.0,inf,inf,96.0,inf,inf,inf,inf,inf,,,,,,,inf
1,inf,132.0,False,True,2164,0.0,0.9390018484288355,0.14463955637707948,0.0,0.0,True,False,False,inf,132.0,0.0,inf,inf,132.0,inf,inf,inf,inf,inf,,,,,,,inf
2,inf,123.0,False,True,2164,0.0,0.9431608133086876,0.10166358595194085,0.0,0.0,True,False,False,inf,123.0,0.0,inf,inf,123.0,inf,inf,inf,inf,inf,,,,,,,inf
3,inf,139.0,False,True,2164,0.0,0.9357670979667283,0.12107208872458411,0.0,0.0,True,False,False,inf,139.0,0.0,inf,inf,139.0,inf,inf,inf,inf,inf,,,,,,,inf
4,inf,152.0,False,True,2164,0.0,0.9297597042513863,0.18391866913123844,0.0,0.0,True,False,False,inf,152.0,0.0,inf,inf,152.0,inf,inf,inf,inf,inf,,,,,,,inf
5,inf,163.0,False,True,2164,0.0,0.9246765249537893,0.0799445471349353,0.0,0.0,True,False,False,inf,163.0,0.0,inf,inf,163.0,inf,inf,inf,inf,inf,,,,,,,inf
6,inf,139.0,False,True,2164,0.0,0.9357670979667283,0.06839186691312385,0.0,0.0,True,False,False,inf,139.0,0.0,inf,inf,139.0,inf,inf,inf,inf,inf,,,,,,,inf
7,inf,143.0,False,True,2164,0.0,0.9339186691312384,0.12245841035120147,0.0,0.0,True,False,False,inf,143.0,0.0,inf,inf,143.0,inf,inf,inf,inf,inf,,,,,,,inf
8,inf,182.0,False,True,2164,0.0,0.9158964879852126,0.18160813308687615,0.0,0.0,True,False,False,inf,182.0,0.0,inf,inf,182.0,inf,inf,inf,inf,inf,,,,,,,inf
9,inf,116.0,False,True,2164,0.0,0.9463955637707948,0.09750462107208872,0.0,0.0,True,False,False,inf,116.0,0.0,inf,inf,116.0,inf,inf,inf,inf,inf,,,,,,,inf
10,inf,127.0,False,True,2164,0.0,0.9413123844731978,0.09796672828096119,0.0,0.0,True,False,False,inf,127.0,0.0,inf,inf,127.0,inf,inf,inf,inf,inf,,,,,,,inf
11,inf,131.0,False,True,2164,0.0,0.9394639556377079,0.15064695009242143,0.0,0.0,True,False,False,inf,131.0,0.0,inf,inf,131.0,inf,inf,inf,inf,inf,,,,,,,inf
12,inf,112.0,False,True,2164,0.0,0.9482439926062847,0.1876155268022181,0.0,0.0,True,False,False,inf,112.0,0.0,inf,inf,112.0,inf,inf,inf,inf,inf,,,,,,,inf
13,inf,183.0,False,True,2164,0.0,0.9154343807763401,0.14417744916820702,0.0,0.0,True,False,False,inf,183.0,0.0,inf,inf,183.0,inf,inf,inf,inf,inf,,,,,,,inf
14,inf,161.0,False,True,2164,0.0,0.9256007393715342,0.10859519408502773,0.0,0.0,True,False,False,inf,161.0,0.0,inf,inf,161.0,inf,inf,inf,inf,inf,,,,,,,inf
15,inf,148.0,False,True,2164,0.0,0.9316081330868762,0.17282809611829944,0.0,0.0,True,False,False,inf,148.0,0.0,inf,inf,148.0,inf,inf,inf,inf,inf,,,,,,,inf
16,inf,36.0,False,True,2164,0.0,0.9833641404805915,0.06377079482439926,0.0,0.0,True,False,False,inf,36.0,0.0,inf,inf,36.0,inf,inf,inf,inf,inf,,,,,,,inf
17,inf,176.0,False,True,2164,0.0,0.9186691312384473,0.18345656192236598,0.0,0.0,True,False,False,inf,176.0,0.0,inf,inf,176.0,inf,inf,inf,inf,inf,,,,,,,inf
18,inf,74.0,False,True,2164,0.0,0.9658040665434381,0.16081330868761554,0.0,0.0,True,False,False,inf,74.0,0.0,inf,inf,74.0,inf,inf,inf,inf,inf,,,,,,,inf
19,inf,178.0,False,True,2164,0.0,0.9177449168207024,0.08918669131238448,0.0,0.0,True,False,False,inf,178.0,0.0,inf,inf,178.0,inf,inf,inf,inf,inf,,,,,,,inf
20,inf,121.0,False,True,2164,0.0,0.9440850277264325,0.17744916820702403,0.0,0.0,True,False,False,inf,121.0,0.0,inf,inf,121.0,inf,inf,inf,inf,inf,,,,,,,inf
21,inf,117.0,False,True,2164,0.0,0.9459334565619224,0.15573012939001848,0.0,0.0,True,False,False,inf,117.0,0.0,inf,inf,117.0,inf,inf,inf,inf,inf,,,,,,,inf
22,inf,145.0,False,True,2164,0.0,0.9329944547134935,0.1367837338262477,0.0,0.0,True,False,False,inf,145.0,0.0,inf,inf,145.0,inf,inf,inf,inf,inf,,,,,,,inf
23,inf,152.0,False,True,2164,0.0,0.9297597042513863,0.06700554528650647,0.0,0.0,True,False,False,inf,152.0,0.0,inf,inf,152.0,inf,inf,inf,inf,inf,,,,,,,inf
24,inf,132.0,False,True,2164,0.0,0.9390018484288355,0.06515711645101664,0.0,0.0,True,False,False,inf,132.0,0.0,inf,inf,132.0,inf,inf,inf,inf,inf,,,,,,,inf
25,inf,158.0,False,True,2164,0.0,0.9269870609981515,0.1589648798521257,0.0,0.0,True,False,False,inf,158.0,0.0,inf,inf,158.0,inf,inf,inf,inf,inf,,,,,,,inf
26,inf,146.0,False,True,2164,0.0,0.9325323475046211,0.13031423290203328,0.0,0.0,True,False,False,inf,146.0,0.0,inf,inf,146.0,inf,inf,inf,inf,inf,,,,,,,inf
27,inf,148.0,False,True,2164,0.0,0.9316081330868762,0.1866913123844732,0.0,0.0,True,False,False,inf,148.0,0.0,inf,inf,148.0,inf,inf,inf,inf,inf,,,,,,,inf
28,inf,114.0,False,True,2164,0.0,0.9473197781885397,0.12615526802218113,0.0,0.0,True,False,False,inf,114.0,0.0,inf,inf,114.0,inf,inf,inf,inf,inf,,,,,,,inf
29,inf,139.0,False,True,2164,0.0,0.9357670979667283,0.10304990757855823,0.0,0.0,True,False,False,inf,139.0,0.0,inf,inf,139.0,inf,inf,inf,inf,inf,,,,,,,inf
30,inf,165.0,False,True,2164,0.0,0.9237523105360443,0.15203327171903883,0.0,0.0,True,False,False,inf,165.0,0.0,inf,inf,165.0,inf,inf,inf,inf,inf,,,,,,,inf
31,inf,119.0,False,True,2164,0.0,0.9450092421441775,0.19177449168207025,0.0,0.0,True,False,False,inf,119.0,0.0,inf,inf,119.0,inf,inf,inf,inf,inf,,,,,,,inf
32,inf,115.0,False,True,2164,0.0,0.9468576709796673,0.11829944547134935,0.0,0.0,True,False,False,inf,115.0,0.0,inf,inf,115.0,inf,inf,inf,inf,inf,,,,,,,inf
33,inf,126.0,False,True,2164,0.0,0.9417744916820703,0.1589648798521257,0.0,0.0,True,False,False,inf,126.0,0.0,inf,inf,126.0,inf,inf,inf,inf,inf,,,,,,,inf
34,inf,173.0,False,True,2164,0.0,0.9200554528650647,0.18345656192236598,0.0,0.0,True,False,False,inf,173.0,0.0,inf,inf,173.0,inf,inf,inf,inf,inf,,,,,,,inf
35,inf,154.0,False,True,2164,0.0,0.9288354898336414,0.0743992606284658,0.0,0.0,True,False,False,inf,154.0,0.0,inf,inf,154.0,inf,inf,inf,inf,inf,,,,,,,inf
36,inf,142.0,False,True,2164,0.0,0.9343807763401109,0.1511090573012939,0.0,0.0,True,False,False,inf,142.0,0.0,inf,inf,142.0,inf,inf,inf,inf,inf,,,,,,,inf
37,inf,140.0,False,True,2164,0.0,0.9353049907578558,0.07208872458410351,0.0,0.0,True,False,False,inf,140.0,0.0,inf,inf,140.0,inf,inf,inf,inf,inf,,,,,,,inf
38,inf,165.0,False,True,2164,0.0,0.9237523105360443,0.08271719038817006,0.0,0.0,True,False,False,inf,165.0,0.0,inf,inf,165.0,inf,inf,inf,inf,inf,,,,,,,inf
39,inf,135.0,False,True,2164,0.0,0.9376155268022182,0.24491682070240295,0.0,0.0,True,False,False,inf,135.0,0.0,inf,inf,135.0,inf,inf,inf,inf,inf,,,,,,,inf
40,inf,96.0,False,True,2164,0.0,0.955637707948244,0.10027726432532348,0.0,0.0,True,False,False,inf,96.0,0.0,inf,inf,96.0,inf,inf,inf,inf,inf,,,,,,,inf
41,inf,103.0,False,True,2164,0.0,0.9524029574861368,0.11460258780036968,0.0,0.0,True,False,False,inf,103.0,0.0,inf,inf,103.0,inf,inf,inf,inf,inf,,,,,,,inf
42,inf,112.0,False,True,2164,0.0,0.9482439926062847,0.13493530499075784,0.0,0.0,True,False,False,inf,112.0,0.0,inf,inf,112.0,inf,inf,inf,inf,inf,,,,,,,inf
43,inf,75.0,False,True,2164,0.0,0.9653419593345656,0.05730129390018484,0.0,0.0,True,False,False,inf,75.0,0.0,inf,inf,75.0,inf,inf,inf,inf,inf,,,,,,,inf
44,inf,118.0,False,True,2164,0.0,0.9454713493530499,0.16774491682070242,0.0,0.0,True,False,False,inf,118.0,0.0,inf,inf,118.0,inf,inf,inf,inf,inf,,,,,,,inf
45,inf,170.0,False,True,2164,0.0,0.9214417744916821,0.16081330868761554,0.0,0.0,True,False,False,inf,170.0,0.0,inf,inf,170.0,inf,inf,inf,inf,inf,,,,,,,inf
46,inf,176.0,False,True,2164,0.0,0.9186691312384473,0.20702402957486138,0.0,0.0,True,False,False,inf,176.0,0.0,inf,inf,176.0,inf,inf,inf,inf,inf,,,,,,,inf
47,inf,66.0,False,True,2164,0.0,0.9695009242144177,0.11321626617375231,0.0,0.0,True,False,False,inf,66.0,0.0,inf,inf,66.0,inf,inf,inf,inf,inf,,,,,,,inf
48,inf,106.0,False,True,2164,0.0,0.9510166358595195,0.15757855822550831,0.0,0.0,True,False,False,inf,106.0,0.0,inf,inf,106.0,inf,inf,inf,inf,inf,,,,,,,inf
