function,eps,f_star,n_hits,hit_rate,tau_first,tau_median,tau_max,p_hat,clustering,l2_rate,l3_rate,gamma,N_tau_median,N_tau_min,N_tau_max,F_minus,F_plus,Delta_F,F_mean,n_success_F,g2g3_r0.5,beta1_r0.5,g2g3_r1.0,beta1_r1.0,g2g3_r2.0,beta1_r2.0,g2g3_r5.0,beta1_r5.0,g2g3_r10.0,beta1_r10.0,g2g3_r20.0,beta1_r20.0
cec2017_f13,0.01,1300.0,17,0.3333333333333333,599.0,719.0,767.0,0.00044831223628691985,1.117780437552905,0.719590718583905,0.8901402514692454,0.6479430564986303,51.0,47.0,63.0,0.03755811176724684,1.0,0.9624418882327531,0.557825327437117,419587.0,0.47058823529411764,0.06,0.8235294117647058,0.14583333333333334,0.9411764705882353,0.3541666666666667,1.0,0.7551020408163265,1.0,1.0,1.0,1.0
cec2017_f13,1.0,1300.0,18,0.35294117647058826,491.0,632.5,995.0,0.00040783958309731507,2.3646781778621904,0.7194602959667279,0.9006794660992359,0.6553220814392108,59.0,31.0,76.0,0.035711195122382876,1.0,0.9642888048776171,0.5571472653309296,401852.0,0.0,0.01695402298850575,0.1111111111111111,0.017105263157894735,0.3333333333333333,0.047089947089947085,0.8333333333333334,0.15833333333333333,1.0,0.5960591133004927,1.0,0.9535714285714285
cec2017_f13,10.0,1300.0,51,1.0,179.0,299.0,504.0,0.003215839586354751,0.870421240604039,0.579292515291002,1.0,0.579292515291002,106.0,74.0,131.0,0.08525199917602734,1.0,0.9147480008239727,0.5968755611068195,260884.0,0.0,0.009433962264150943,0.0,0.009433962264150943,0.0,0.009433962264150943,0.0196078431372549,0.009708737864077669,0.5686274509803921,0.07086614173228346,1.0,0.5765765765765766
cec2017_f13,100.0,1300.0,51,1.0,98.0,112.0,125.0,0.00890518596123625,1.294178163678233,0.250043652872359,1.0,0.250043652872359,148.0,144.0,151.0,0.21807636286738308,1.0,0.7819236371326169,0.6539799748740797,179304.0,0.0,0.006756756756756757,0.0,0.006756756756756757,0.0,0.006756756756756757,0.0,0.006756756756756757,0.0,0.006756756756756757,0.0,0.006756756756756757
cec2017_f13,400.0,1300.0,51,1.0,80.0,93.0,108.0,0.01077996195307546,2.1476137683389864,0.22849291904459945,1.0,0.22849291904459945,153.0,149.0,156.0,0.22316119274877225,1.0,0.7768388072512278,0.65764320481099,150300.0,0.0,0.006535947712418301,0.0,0.006535947712418301,0.0,0.006535947712418301,0.0,0.006535947712418301,0.0,0.006535947712418301,0.0,0.006535947712418301
cec2017_f14,0.01,1400.0,14,0.27450980392156865,631.0,808.0,1938.0,0.00016389220575495773,1.1933346828037392,0.6787298473087093,0.4140684978247889,0.28053825812505334,43.0,6.0,59.0,0.030579460507304576,1.0,0.9694205394926955,0.567776973893965,394898.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
cec2017_f14,1.0,1400.0,50,0.9803921568627451,535.0,654.0,855.0,0.0014629721742692454,1.644878414959598,0.5475680550076086,0.7520430592346278,0.4013413740630108,57.0,40.0,70.0,0.026563350299506898,1.0,0.9734366497004932,0.5901487517381347,274764.0,0.16,0.017857142857142856,0.32,0.03508771929824561,0.58,0.09147869674185463,0.76,0.1296641791044776,0.76,0.1296641791044776,1.0,0.4913793103448276
cec2017_f14,10.0,1400.0,50,0.9803921568627451,238.0,368.0,578.0,0.0025329280648429585,1.0580062205061735,0.5844977961174154,0.8613429616430648,0.4893088249085623,93.5,65.0,118.0,0.030492509351976182,1.0,0.9695074906480238,0.591954891936181,216055.0,0.0,0.010695493022191718,0.0,0.010695493022191718,0.0,0.010695493022191718,0.1,0.012049941927990708,0.26,0.023809523809523808,0.52,0.0577403534745998
cec2017_f14,100.0,1400.0,51,1.0,35.0,61.0,69.0,0.016536964980544747,2.812478373619275,0.25453955901426717,1.0,0.25453955901426717,161.0,159.0,169.0,0.2666017559684027,1.0,0.7333982440315974,0.6932583715391846,104778.0,0.0,0.006211180124223602,0.0,0.006211180124223602,0.0,0.006211180124223602,0.0,0.006211180124223602,0.0,0.006211180124223602,0.0,0.006211180124223602
cec2017_f14,400.0,1400.0,51,1.0,8.0,29.0,37.0,0.038202247191011236,1.1989888724630147,0.48389513108614235,1.0,0.48389513108614235,171.0,168.0,177.0,0.2541351492809953,1.0,0.7458648507190047,0.6538334487474968,58643.0,0.0,0.005847953216374269,0.0,0.005847953216374269,0.0,0.005847953216374269,0.0,0.005847953216374269,0.0,0.005847953216374269,0.0,0.005847953216374269
cec2017_f15,0.01,1500.0,21,0.4117647058823529,542.0,629.0,962.0,0.0004897273850889671,1.1389815238030097,0.7785941399272874,0.8901078020293637,0.7187139762607517,59.0,33.0,69.0,0.084462974346992,1.0,0.915537025653008,0.5562631034075338,448159.0,0.8571428571428571,0.2033898305084746,0.9523809523809523,0.3939393939393939,1.0,0.6875,1.0,0.9696969696969697,1.0,1.0,1.0,1.0
cec2017_f15,1.0,1500.0,51,1.0,223.0,362.0,558.0,0.0027567567567567566,2.5583413121684493,0.6966486486486486,0.9787027027027027,0.6778378378378378,95.0,67.0,121.0,0.08495174746504001,1.0,0.91504825253496,0.6018568780687429,243561.0,0.0,0.010526315789473684,0.0,0.010526315789473684,0.0,0.010638297872340425,0.43137254901960786,0.0425531914893617,0.8627450980392157,0.1509433962264151,1.0,0.5869565217391305
cec2017_f15,10.0,1500.0,51,1.0,100.0,118.0,141.0,0.008464730290456432,1.23622691682675,0.44016597510373445,1.0,0.44016597510373445,146.0,140.0,151.0,0.21960908867897203,1.0,0.780390911321028,0.6490678096903664,182839.0,0.0,0.00684931506849315,0.0,0.00684931506849315,0.0,0.00684931506849315,0.0,0.00684931506849315,0.0,0.00684931506849315,0.1568627450980392,0.020689655172413793
cec2017_f15,100.0,1500.0,51,1.0,49.0,70.0,82.0,0.014431239388794566,1.4409082942992415,0.27306168647425016,1.0,0.27306168647425016,159.0,156.0,165.0,0.25295610744908437,1.0,0.7470438925509156,0.6862064601673162,119440.0,0.0,0.006289308176100629,0.0,0.006289308176100629,0.0,0.006289308176100629,0.0,0.006289308176100629,0.0,0.006289308176100629,0.0,0.006289308176100629
cec2017_f15,400.0,1500.0,51,1.0,31.0,50.0,61.0,0.020015698587127158,2.0,0.36381475667189955,1.0,0.36381475667189955,165.0,161.0,170.0,0.25291648315636023,1.0,0.7470835168436398,0.6738969916534573,91522.0,0.0,0.006060606060606061,0.0,0.006060606060606061,0.0,0.006060606060606061,0.0,0.006060606060606061,0.0,0.006060606060606061,0.0,0.006060606060606061
cec2017_f16,0.01,1600.0,0,0.0,,,,,,0.6449657497009894,0.2142093436265449,0.1580044217317241,,,,0.023592734979863094,1.0,0.9764072650201369,0.5119008545046405,323786.0,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,
cec2017_f16,1.0,1600.0,51,1.0,553.0,696.0,893.0,0.0014195451888551786,1.2874158016611346,0.7616834135886659,0.6109889498149025,0.44921646672419074,53.0,37.0,68.0,0.06476666010548998,1.0,0.9352333398945101,0.575463957021449,237001.0,0.0,0.018867924528301886,0.0,0.018867924528301886,0.0,0.018867924528301886,0.0,0.018867924528301886,0.0196078431372549,0.018867924528301886,0.43137254901960786,0.05660377358490566
cec2017_f16,10.0,1600.0,51,1.0,67.0,232.0,317.0,0.0043840797730594,2.002798042739207,0.6564944554285224,0.9441244734806155,0.6219375913349953,119.0,103.0,160.0,0.10894105043160004,1.0,0.8910589495683999,0.6193762862322457,116979.0,0.0,0.008403361344537815,0.0,0.008403361344537815,0.0,0.008403361344537815,0.0,0.008403361344537815,0.0,0.008403361344537815,0.0,0.008403361344537815
cec2017_f16,100.0,1600.0,51,1.0,5.0,64.0,124.0,0.01652089407191448,1.3494919234217568,0.4376417233560091,1.0,0.4376417233560091,161.0,144.0,178.0,0.22863634631522212,1.0,0.7713636536847779,0.6419778998622794,61535.0,0.0,0.006211180124223602,0.0,0.006211180124223602,0.0,0.006211180124223602,0.0,0.006211180124223602,0.0,0.006211180124223602,0.0,0.006211180124223602
cec2017_f16,400.0,1600.0,51,1.0,2.0,11.0,22.0,0.08869565217391304,1.5811388300841895,0.8191304347826087,1.0,0.8191304347826087,176.0,173.0,179.0,0.23566079932351014,1.0,0.7643392006764899,0.5934072199700137,33159.0,0.0,0.005681818181818182,0.0,0.005681818181818182,0.0,0.005681818181818182,0.0,0.005681818181818182,0.0,0.005681818181818182,0.0,0.005681818181818182
cec2017_f17,0.01,1700.0,1,0.0196078431372549,1249.0,1249.0,1249.0,1.5698833576665255e-05,0.0,0.50319326809747,0.09415344132883809,0.023654852945207357,20.0,20.0,20.0,0.13343295772922942,1.0,0.8665670422707705,0.7170257778089609,389314.0,0.0,0.05,0.0,0.05,0.0,0.05,0.0,0.05,0.0,0.05,0.0,0.05
cec2017_f17,1.0,1700.0,50,0.9803921568627451,596.0,701.5,926.0,0.0013538761474100349,1.587589610494432,0.2800964133197097,0.26998349445885406,0.06782991432838167,52.0,35.0,63.0,0.25237595479743063,1.0,0.7476240452025693,0.7550519808357989,268349.0,0.0,0.019230769230769232,0.0,0.019230769230769232,0.0,0.019230769230769232,0.0,0.019230769230769232,0.0,0.019230769230769232,0.0,0.020833333333333332
cec2017_f17,10.0,1700.0,51,1.0,366.0,456.0,522.0,0.0022069323640140203,1.0776859324957697,0.2512008308451253,0.44558397161279156,0.11168808689255269,80.0,72.0,94.0,0.2578996692671478,1.0,0.7421003307328522,0.7438471764886783,194169.0,0.0,0.0125,0.0,0.0125,0.0,0.0125,0.0,0.0125,0.0,0.0125,0.0,0.0125
cec2017_f17,100.0,1700.0,51,1.0,10.0,36.0,73.0,0.02661795407098121,1.1643698371487814,0.45407098121085593,1.0,0.45407098121085593,169.0,158.0,177.0,0.24189501153713894,1.0,0.758104988462861,0.6328655241392219,58226.0,0.0,0.005917159763313609,0.0,0.005917159763313609,0.0,0.005917159763313609,0.0,0.005917159763313609,0.0,0.005917159763313609,0.0,0.005917159763313609
cec2017_f17,400.0,1700.0,51,1.0,0.0,2.0,5.0,0.5795454545454546,2.9999999999999996,1.0,1.0,1.0,179.0,178.0,180.0,0.2225304405571395,1.0,0.7774695594428604,0.5359794287325413,8620.0,0.0,0.00558659217877095,0.0,0.00558659217877095,0.0,0.00558659217877095,0.0,0.00558659217877095,0.0,0.00558659217877095,0.0,0.00558659217877095
cec2017_f18,0.01,1800.0,14,0.27450980392156865,594.0,743.5,1196.0,0.0002548605548678366,1.3504053696244587,0.8091197602151011,0.917761272975713,0.750804425441883,48.5,22.0,63.0,0.1111338434192357,1.0,0.8888661565807643,0.5526183881401161,524339.0,1.0,0.9359272164150212,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
cec2017_f18,1.0,1800.0,50,0.9803921568627451,346.0,419.0,516.0,0.0023208317861121426,1.2679438713522195,0.7409451535012073,0.9288116591928252,0.685667471541911,86.0,72.0,98.0,0.11643390762310721,1.0,0.8835660923768928,0.5880135008053022,296042.0,0.0,0.011627906976744186,0.02,0.012121657361151925,0.4,0.055290811339198435,0.96,0.20227272727272727,1.0,0.5483005366726297,1.0,0.9313725490196079
cec2017_f18,10.0,1800.0,50,0.9803921568627451,179.0,251.0,332.0,0.003830537041293189,1.066381481804605,0.7231441048034934,0.8890829694323145,0.6370171313402755,115.0,100.0,131.0,0.14526839003893535,1.0,0.8547316099610647,0.5965407796107768,249548.0,0.0,0.008695652173913044,0.0,0.008695652173913044,0.0,0.008695652173913044,0.02,0.008889064475347661,0.3,0.02620137299771167,0.92,0.16819428123775948
cec2017_f18,100.0,1800.0,51,1.0,90.0,103.0,118.0,0.009706889988580129,1.2955969390869324,0.43033878949371906,1.0,0.43033878949371906,150.0,146.0,153.0,0.2066390560662626,1.0,0.7933609439337375,0.6334820778067501,156706.0,0.0,0.006666666666666667,0.0,0.006666666666666667,0.0,0.006666666666666667,0.0,0.006666666666666667,0.0,0.006666666666666667,0.0,0.006666666666666667
cec2017_f18,400.0,1800.0,51,1.0,71.0,84.0,103.0,0.011830201809324982,1.6165646445471957,0.43400603108327535,1.0,0.43400603108327535,155.0,150.0,159.0,0.20809727517510998,1.0,0.79190272482489,0.6328595697096382,130423.0,0.0,0.0064516129032258064,0.0,0.0064516129032258064,0.0,0.0064516129032258064,0.0,0.0064516129032258064,0.0,0.0064516129032258064,0.0,0.0064516129032258064
cec2017_f19,0.01,1900.0,30,0.5882352941176471,740.0,982.5,2072.0,0.0003899496964891529,1.5255026185885103,0.7329487098205795,0.4720091295251379,0.37233246687377164,31.5,5.0,49.0,0.08153352614859662,1.0,0.9184664738514033,0.6038484058392943,372323.0,0.06666666666666667,0.06458333333333333,0.16666666666666666,0.07692307692307693,0.7666666666666667,0.3011627906976744,0.9333333333333333,1.0,0.9333333333333333,1.0,0.9333333333333333,1.0
cec2017_f19,1.0,1900.0,51,1.0,341.0,419.0,514.0,0.0023768467166891925,1.189136904186671,0.7001910798340868,0.9677494523931585,0.6857901850212053,86.0,73.0,99.0,0.11892781407555857,1.0,0.8810721859244415,0.6255230090386587,230050.0,0.0,0.011627906976744186,0.0,0.011627906976744186,0.0,0.011627906976744186,0.0,0.011764705882352941,0.0196078431372549,0.011904761904761904,0.43137254901960786,0.045454545454545456
cec2017_f19,10.0,1900.0,51,1.0,78.0,100.0,133.0,0.009929906542056074,2.2212348587037485,0.33352803738317754,1.0,0.33352803738317754,151.0,142.0,157.0,0.22716272904777965,1.0,0.7728372709522203,0.6601305503362651,153735.0,0.0,0.006622516556291391,0.0,0.006622516556291391,0.0,0.006622516556291391,0.0,0.006622516556291391,0.0,0.006622516556291391,0.0,0.006622516556291391
cec2017_f19,100.0,1900.0,51,1.0,43.0,59.0,74.0,0.01709688233322159,1.6413618365430391,0.2775729131746564,1.0,0.2775729131746564,162.0,158.0,167.0,0.2399560824190049,1.0,0.7600439175809951,0.6696374322047333,100581.0,0.0,0.006172839506172839,0.0,0.006172839506172839,0.0,0.006172839506172839,0.0,0.006172839506172839,0.0,0.006172839506172839,0.0,0.006172839506172839
cec2017_f19,400.0,1900.0,51,1.0,23.0,47.0,59.0,0.022222222222222223,1.417483424685897,0.3167755991285403,1.0,0.3167755991285403,165.0,162.0,173.0,0.2430684762322876,1.0,0.7569315237677123,0.6652763911100511,84956.0,0.0,0.006060606060606061,0.0,0.006060606060606061,0.0,0.006060606060606061,0.0,0.006060606060606061,0.0,0.006060606060606061,0.0,0.006060606060606061
cec2017_f2,0.01,200.0,51,1.0,133.0,149.0,172.0,0.00674424755355726,1.6674554346552932,0.9334832055011901,1.0,0.9334832055011901,138.0,133.0,142.0,0.13933155379431542,0.8780385060697738,0.7387069522754585,0.5196972428761746,275054.0,0.39215686274509803,0.04964539007092199,1.0,0.7925925925925926,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
cec2017_f2,1.0,200.0,51,1.0,105.0,118.0,137.0,0.008478802992518703,1.3169567191065923,0.916375727348296,1.0,0.916375727348296,146.0,141.0,149.0,0.13734726225736563,0.9042007205306005,0.7668534582732349,0.5254004831326463,217842.0,0.0,0.00684931506849315,0.0,0.00684931506849315,0.47058823529411764,0.04054054054054054,1.0,0.4794520547945205,1.0,0.7777777777777778,1.0,0.9657534246575342
cec2017_f2,10.0,200.0,51,1.0,94.0,104.0,122.0,0.009472511144130757,1.138384103607802,0.9069465081723626,1.0,0.9069465081723626,150.0,145.0,152.0,0.1380956857949851,0.9207164355519797,0.7826207497569946,0.5308537549826421,193287.0,0.0,0.006666666666666667,0.0,0.006666666666666667,0.0,0.006666666666666667,0.37254901960784315,0.02702702702702703,0.9607843137254902,0.12837837837837837,1.0,0.2980132450331126
cec2017_f2,100.0,200.0,51,1.0,75.0,91.0,110.0,0.010965383788432596,1.3477115902938006,0.8922812298430445,1.0,0.8922812298430445,153.0,148.0,157.0,0.14013870536314932,0.9457798044470594,0.8056410990839101,0.5398537020743838,165377.0,0.0,0.006535947712418301,0.0,0.006535947712418301,0.0,0.006535947712418301,0.0,0.006535947712418301,0.35294117647058826,0.025477707006369428,0.8627450980392157,0.11258278145695365
cec2017_f2,400.0,200.0,51,1.0,68.0,82.0,98.0,0.012195121951219513,1.3333333333333335,0.8802008608321378,1.0,0.8802008608321378,156.0,151.0,159.0,0.14303345995139388,0.9671501884826069,0.824116728531213,0.5472851628316451,148198.0,0.0,0.00641025641025641,0.0,0.00641025641025641,0.0,0.00641025641025641,0.0,0.00641025641025641,0.0,0.006578947368421052,0.6078431372549019,0.0392156862745098
cec2017_f20,0.01,2000.0,51,1.0,857.0,1009.0,1099.0,0.0009953355842229551,1.639595272916881,0.1954370694197779,0.36158004644899394,0.08676984328343644,30.0,26.0,40.0,0.33841172101572714,1.0,0.6615882789842729,0.8085934363615626,401084.0,0.23529411764705882,0.09090909090909091,0.23529411764705882,0.09090909090909091,0.23529411764705882,0.09090909090909091,0.23529411764705882,0.09090909090909091,0.4117647058823529,0.10344827586206896,0.803921568627451,0.23529411764705882
cec2017_f20,1.0,2000.0,51,1.0,512.0,639.0,706.0,0.0015714549824366797,1.5826001494612327,0.11382264127688421,0.3361989277130708,0.03115178406359771,58.0,52.0,73.0,0.3631696163786778,1.0,0.6368303836213223,0.8186517342780886,277565.0,0.0,0.017241379310344827,0.0,0.017857142857142856,0.058823529411764705,0.031746031746031744,0.09803921568627451,0.03333333333333333,0.09803921568627451,0.03333333333333333,0.7254901960784313,0.09836065573770492
cec2017_f20,10.0,2000.0,51,1.0,277.0,376.0,425.0,0.002702559482804303,1.387950336238871,0.08192464628265593,0.5135392930952255,0.0412272799533676,93.0,85.0,110.0,0.36513636347166056,1.0,0.6348636365283394,0.8147401607892779,199382.0,0.0,0.010752688172043012,0.0,0.010752688172043012,0.0,0.010752688172043012,0.0,0.010869565217391304,0.0,0.010869565217391304,0.0,0.02040816326530612
cec2017_f20,100.0,2000.0,51,1.0,11.0,30.0,51.0,0.033819628647214856,1.369306393762915,0.34350132625994695,1.0,0.34350132625994695,170.0,164.0,176.0,0.2997878236452944,1.0,0.7002121763547056,0.6852250319331412,52837.0,0.0,0.0058823529411764705,0.0,0.0058823529411764705,0.0,0.0058823529411764705,0.0,0.0058823529411764705,0.0,0.0058823529411764705,0.0,0.0058823529411764705
cec2017_f20,400.0,2000.0,51,1.0,0.0,1.0,3.0,1.1590909090909092,3.958114029012639,1.0,1.0,1.0,179.0,179.0,180.0,0.23829778368562965,1.0,0.7617022163143703,0.5370076163303884,3948.0,0.0,0.00558659217877095,0.0,0.00558659217877095,0.0,0.00558659217877095,0.0,0.00558659217877095,0.0,0.00558659217877095,0.0,0.00558659217877095
cec2017_f21,0.01,2100.0,0,0.0,,,,,,0.5681925265485122,0.4406418759740495,0.38196332137291145,,,,0.013721388681041287,0.8460798810625743,0.8323584923815329,0.41187282596120156,468151.0,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,
