function,hits,T_first,tau_med,tau_max,p_hat,a_valid,clustering
cec2017_f1,51/51,147,159,177,9.12e-02,9.95e-03,0.11
cec2017_f2,51/51,69,83,99,8.98e-02,2.02e-02,0.23
cec2017_f3,51/51,54,71,90,8.03e-02,6.65e-03,0.08
cec2017_f4,51/51,1,5,7,2.17e-01,3.92e-02,0.18
cec2017_f5,51/51,1,1,1,1.00e+00,0.00e+00,0.00
cec2017_f6,51/51,1,1,1,1.00e+00,0.00e+00,0.00
cec2017_f7,51/51,1,1,2,7.29e-01,6.27e-01,0.86
cec2017_f8,51/51,1,1,1,1.00e+00,0.00e+00,0.00
cec2017_f9,51/51,8,20,34,9.90e-02,1.62e-02,0.16
cec2017_f10,51/51,141,299,516,4.20e-02,8.89e-04,0.02
cec2017_f11,51/51,5,11,21,1.31e-01,1.96e-02,0.15
cec2017_f12,51/51,150,171,194,6.80e-02,1.32e-02,0.19
cec2017_f13,51/51,81,94,109,1.12e-01,1.46e-02,0.13
cec2017_f14,51/51,9,30,38,6.70e-02,1.88e-02,0.28
cec2017_f15,51/51,32,51,62,8.87e-02,4.44e-03,0.05
cec2017_f16,51/51,3,12,23,1.21e-01,1.50e-02,0.12
cec2017_f17,51/51,1,3,6,3.67e-01,1.96e-01,0.53
cec2017_f18,51/51,72,85,104,8.78e-02,1.32e-02,0.15
cec2017_f19,51/51,24,48,60,7.09e-02,6.71e-03,0.09
cec2017_f20,51/51,1,2,4,5.37e-01,4.51e-01,0.84
cec2017_f21,51/51,1,1,1,1.00e+00,0.00e+00,0.00
cec2017_f22,51/51,1,7,13,1.36e-01,3.92e-02,0.29
cec2017_f23,51/51,2,6,8,2.08e-01,1.96e-02,0.09
cec2017_f24,51/51,2,9,13,1.45e-01,1.32e-02,0.09
cec2017_f25,40/51,66,81,101,5.22e-02,1.71e-02,0.33
cec2017_f26,51/51,30,38,45,1.18e-01,3.35e-02,0.28
cec2017_f27,51/51,20,28,34,1.28e-01,1.96e-02,0.15
cec2017_f28,43/51,38,61,93,4.97e-02,4.44e-03,0.09
cec2017_f29,51/51,6,22,44,7.65e-02,1.96e-02,0.26
cec2017_f30,37/51,191,216,269,4.62e-02,7.34e-03,0.16
