function,hits,T_first,tau_med,tau_max,p_hat,a_valid,clustering
cec2017_f1,51/51,193,205,224,8.07e-02,1.50e-02,0.19
cec2017_f2,51/51,106,119,138,7.83e-02,1.96e-02,0.25
cec2017_f3,51/51,101,121,141,7.41e-02,7.97e-03,0.11
cec2017_f4,51/51,127,140,152,8.73e-02,1.21e-02,0.14
cec2017_f5,2/51,1312,1358,1405,1.98e-02,4.25e-04,0.02
cec2017_f6,51/51,96,117,128,7.89e-02,4.99e-03,0.06
cec2017_f7,0/51,--,--,--,--,--,--
cec2017_f8,1/51,1843,1843,1843,1.96e-02,1.96e-02,1.00
cec2017_f9,51/51,88,107,117,7.93e-02,4.99e-03,0.06
cec2017_f10,2/51,1379,1394,1410,1.98e-02,1.25e-03,0.06
cec2017_f11,37/51,376,486,2078,3.03e-02,7.59e-04,0.03
cec2017_f12,25/51,381,516,604,2.65e-02,1.83e-03,0.07
cec2017_f13,18/51,492,633,996,2.50e-02,8.62e-04,0.03
cec2017_f14,50/51,536,655,856,4.18e-02,2.32e-03,0.06
cec2017_f15,51/51,224,363,559,5.10e-02,7.02e-04,0.01
cec2017_f16,51/51,554,697,894,4.33e-02,1.43e-03,0.03
cec2017_f17,50/51,597,702,927,4.45e-02,1.94e-03,0.04
cec2017_f18,50/51,347,420,517,4.43e-02,1.90e-03,0.04
cec2017_f19,51/51,342,420,515,4.37e-02,2.75e-03,0.06
cec2017_f20,51/51,513,640,707,4.27e-02,9.47e-04,0.02
cec2017_f21,0/51,--,--,--,--,--,--
cec2017_f22,2/51,162,169,176,1.98e-02,2.66e-03,0.13
cec2017_f23,0/51,--,--,--,--,--,--
cec2017_f24,3/51,179,287,308,2.00e-02,3.67e-04,0.02
cec2017_f25,0/51,--,--,--,--,--,--
cec2017_f26,0/51,--,--,--,--,--,--
cec2017_f27,0/51,--,--,--,--,--,--
cec2017_f28,0/51,--,--,--,--,--,--
cec2017_f29,0/51,--,--,--,--,--,--
cec2017_f30,0/51,--,--,--,--,--,--
