function,hits,gamma_mean,l2_mean,l3_mean,a_t,p_hat,gap_factor
cec2017_f1,51/51,0.993,0.993,1.000,9.07e-11,9.12e-02,1.0e+09
cec2017_f2,51/51,0.948,0.948,1.000,9.07e-11,8.98e-02,1.0e+09
cec2017_f3,51/51,0.955,0.955,1.000,9.07e-11,8.03e-02,9.3e+08
cec2017_f4,51/51,1.000,1.000,1.000,9.07e-11,2.17e-01,2.4e+09
cec2017_f5,51/51,1.000,1.000,1.000,9.07e-11,1.00e+00,1.1e+10
cec2017_f6,51/51,1.000,1.000,1.000,9.07e-11,1.00e+00,1.1e+10
cec2017_f7,51/51,1.000,1.000,1.000,9.07e-11,7.29e-01,8.0e+09
cec2017_f8,51/51,1.000,1.000,1.000,9.07e-11,1.00e+00,1.1e+10
cec2017_f9,51/51,0.968,0.968,1.000,9.07e-11,9.90e-02,1.1e+09
cec2017_f10,51/51,0.088,0.761,0.163,9.07e-11,4.20e-02,5.3e+09
cec2017_f11,51/51,0.909,0.909,1.000,9.07e-11,1.31e-01,1.6e+09
cec2017_f12,51/51,0.989,0.989,1.000,9.07e-11,6.80e-02,7.6e+08
cec2017_f13,51/51,0.598,0.598,1.000,9.07e-11,1.12e-01,2.1e+09
cec2017_f14,51/51,0.555,0.555,1.000,9.07e-11,6.70e-02,1.3e+09
cec2017_f15,51/51,0.481,0.481,1.000,9.07e-11,8.87e-02,2.0e+09
cec2017_f16,51/51,0.756,0.756,1.000,9.07e-11,1.21e-01,1.8e+09
cec2017_f17,51/51,1.000,1.000,1.000,9.07e-11,3.67e-01,4.0e+09
cec2017_f18,51/51,0.756,0.756,1.000,9.07e-11,8.78e-02,1.3e+09
cec2017_f19,51/51,0.479,0.479,1.000,9.07e-11,7.09e-02,1.6e+09
cec2017_f20,51/51,1.000,1.000,1.000,9.07e-11,5.37e-01,5.9e+09
cec2017_f21,51/51,1.000,1.000,1.000,9.07e-11,1.00e+00,1.1e+10
cec2017_f22,51/51,1.000,1.000,1.000,9.07e-11,1.36e-01,1.5e+09
cec2017_f23,51/51,1.000,1.000,1.000,9.07e-11,2.08e-01,2.3e+09
cec2017_f24,51/51,0.863,0.863,1.000,9.07e-11,1.45e-01,1.9e+09
cec2017_f25,40/51,0.581,0.870,0.619,9.07e-11,5.22e-02,9.9e+08
cec2017_f26,51/51,0.811,0.811,1.000,9.07e-11,1.18e-01,1.6e+09
cec2017_f27,51/51,0.352,0.352,1.000,9.07e-11,1.28e-01,4.0e+09
cec2017_f28,43/51,0.946,0.946,1.000,9.07e-11,4.97e-02,5.8e+08
cec2017_f29,51/51,0.679,0.679,1.000,9.07e-11,7.65e-02,1.2e+09
cec2017_f30,37/51,0.841,0.841,1.000,9.07e-11,4.62e-02,6.1e+08
