function,hits,gamma_mean,l2_mean,l3_mean,a_t,p_hat,gap_factor
cec2017_f1,51/51,0.995,0.995,1.000,9.07e-11,7.41e-02,8.2e+08
cec2017_f2,51/51,0.970,0.970,1.000,9.07e-11,7.23e-02,8.2e+08
cec2017_f3,51/51,0.978,0.978,1.000,9.07e-11,8.08e-02,9.1e+08
cec2017_f4,51/51,0.991,0.991,1.000,9.07e-11,9.01e-02,1.0e+09
cec2017_f6,51/51,0.989,0.989,1.000,9.07e-11,7.53e-02,8.4e+08
cec2017_f9,51/51,0.992,0.992,1.000,9.07e-11,7.49e-02,8.3e+08
cec2017_f11,34/51,0.183,0.812,0.222,9.07e-11,2.96e-02,1.8e+09
cec2017_f12,4/51,0.857,0.857,1.000,9.07e-11,2.02e-02,2.6e+08
cec2017_f13,17/51,0.743,0.835,0.876,9.07e-11,2.62e-02,3.9e+08
cec2017_f14,14/51,0.290,0.772,0.383,9.07e-11,2.25e-02,8.5e+08
cec2017_f15,21/51,0.759,0.836,0.871,9.07e-11,2.44e-02,3.5e+08
cec2017_f17,1/51,0.035,0.607,0.093,9.07e-11,1.96e-02,6.1e+09
cec2017_f18,14/51,0.806,0.877,0.908,9.07e-11,2.25e-02,3.1e+08
cec2017_f19,30/51,0.320,0.823,0.363,9.07e-11,2.74e-02,9.4e+08
cec2017_f20,51/51,0.114,0.297,0.351,9.07e-11,4.46e-02,4.3e+09
cec2017_f22,2/51,0.977,0.977,1.000,9.07e-11,1.98e-02,2.2e+08
cec2017_f24,3/51,0.079,0.362,0.149,9.07e-11,2.00e-02,2.8e+09
