function,hits,gamma_mean,l2_mean,l3_mean,a_t,p_hat,gap_factor
cec2017_f1,51/51,0.994,0.994,1.000,9.07e-11,8.07e-02,8.9e+08
cec2017_f2,51/51,0.963,0.963,1.000,9.07e-11,7.83e-02,9.0e+08
cec2017_f3,51/51,0.971,0.971,1.000,9.07e-11,7.41e-02,8.4e+08
cec2017_f4,51/51,0.988,0.988,1.000,9.07e-11,8.73e-02,9.7e+08
cec2017_f5,2/51,0.049,0.593,0.077,9.07e-11,1.98e-02,4.4e+09
cec2017_f6,51/51,0.977,0.977,1.000,9.07e-11,7.89e-02,8.9e+08
cec2017_f8,1/51,0.088,0.611,0.117,9.07e-11,1.96e-02,2.5e+09
cec2017_f9,51/51,0.989,0.989,1.000,9.07e-11,7.93e-02,8.8e+08
cec2017_f10,2/51,0.021,0.405,0.040,9.07e-11,1.98e-02,1.0e+10
cec2017_f11,37/51,0.161,0.813,0.202,9.07e-11,3.03e-02,2.1e+09
cec2017_f12,25/51,0.888,0.888,1.000,9.07e-11,2.65e-02,3.3e+08
cec2017_f13,18/51,0.753,0.836,0.887,9.07e-11,2.50e-02,3.7e+08
cec2017_f14,50/51,0.196,0.769,0.294,9.07e-11,4.18e-02,2.4e+09
cec2017_f15,51/51,0.632,0.833,0.787,9.07e-11,5.10e-02,8.9e+08
cec2017_f16,51/51,0.403,0.865,0.487,9.07e-11,4.33e-02,1.2e+09
cec2017_f17,50/51,0.035,0.645,0.093,9.07e-11,4.45e-02,1.4e+10
cec2017_f18,50/51,0.209,0.813,0.238,9.07e-11,4.43e-02,2.3e+09
cec2017_f19,51/51,0.805,0.837,0.955,9.07e-11,4.37e-02,6.0e+08
cec2017_f20,51/51,0.058,0.198,0.339,9.07e-11,4.27e-02,8.1e+09
cec2017_f22,2/51,0.977,0.977,1.000,9.07e-11,1.98e-02,2.2e+08
cec2017_f24,3/51,0.078,0.361,0.148,9.07e-11,2.00e-02,2.8e+09
