function,hits,gamma_mean,l2_mean,l3_mean,a_t,p_hat,gap_factor
cec2017_f1,51/51,0.994,0.994,1.000,9.07e-11,8.78e-02,9.7e+08
cec2017_f2,51/51,0.958,0.958,1.000,9.07e-11,8.79e-02,1.0e+09
cec2017_f3,51/51,0.967,0.967,1.000,9.07e-11,8.49e-02,9.7e+08
cec2017_f4,51/51,0.968,0.968,1.000,9.07e-11,1.24e-01,1.4e+09
cec2017_f5,51/51,0.283,0.741,0.424,9.07e-11,4.36e-02,1.7e+09
cec2017_f6,51/51,0.957,0.957,1.000,9.07e-11,1.02e-01,1.2e+09
cec2017_f8,51/51,0.343,0.811,0.452,9.07e-11,4.79e-02,1.5e+09
cec2017_f9,51/51,0.986,0.986,1.000,9.07e-11,7.79e-02,8.7e+08
cec2017_f10,17/51,0.021,0.406,0.040,9.07e-11,2.33e-02,1.2e+10
cec2017_f11,51/51,0.916,0.916,1.000,9.07e-11,4.99e-02,6.0e+08
cec2017_f12,25/51,0.889,0.889,1.000,9.07e-11,2.80e-02,3.5e+08
cec2017_f13,51/51,0.579,0.579,1.000,9.07e-11,4.60e-02,8.7e+08
cec2017_f14,50/51,0.126,0.750,0.229,9.07e-11,4.00e-02,3.5e+09
cec2017_f15,51/51,0.666,0.666,1.000,9.07e-11,7.07e-02,1.2e+09
cec2017_f16,51/51,0.723,0.804,0.903,9.07e-11,4.36e-02,6.6e+08
cec2017_f17,51/51,0.146,0.405,0.387,9.07e-11,4.26e-02,3.2e+09
cec2017_f18,50/51,0.209,0.815,0.237,9.07e-11,4.55e-02,2.4e+09
cec2017_f19,51/51,0.714,0.714,1.000,9.07e-11,7.76e-02,1.2e+09
cec2017_f20,51/51,0.054,0.160,0.460,9.07e-11,4.49e-02,9.1e+09
cec2017_f22,2/51,0.977,0.977,1.000,9.07e-11,1.98e-02,2.2e+08
cec2017_f24,3/51,0.077,0.360,0.147,9.07e-11,2.00e-02,2.9e+09
