run,K_1_tau,K_1_K_used,K_1_N,K_1_n_in,K_1_gap_med,K_1_gap_q80,K_1_gap_le_5,K_1_gap_le_10,K_1_r50,K_1_r80,K_1_tight,K_1_beta_r,K_5_tau,K_5_K_used,K_5_N,K_5_n_in,K_5_gap_med,K_5_gap_q80,K_5_gap_le_5,K_5_gap_le_10,K_5_r50,K_5_r80,K_5_tight,K_5_beta_r,K_10pctN_tau,K_10pctN_K_used,K_10pctN_N,K_10pctN_n_in,K_10pctN_gap_med,K_10pctN_gap_q80,K_10pctN_gap_le_5,K_10pctN_gap_le_10,K_10pctN_r50,K_10pctN_r80,K_10pctN_tight,K_10pctN_beta_r,K_25pctN_tau,K_25pctN_K_used,K_25pctN_N,K_25pctN_n_in,K_25pctN_gap_med,K_25pctN_gap_q80,K_25pctN_gap_le_5,K_25pctN_gap_le_10,K_25pctN_r50,K_25pctN_r80,K_25pctN_tight,K_25pctN_beta_r
0,458.0,1.0,238.0,1.0,30.60847952500876,42.32064064528204,0.012658227848101266,0.046413502109704644,10.788514123531344,12.887136608478752,0.8371537022765263,0.008403361344537815,527.0,5.0,210.0,5.0,24.47396807620885,34.18320908637611,0.04390243902439024,0.11707317073170732,10.073190721307595,12.188238392131733,0.8264681406141897,0.009523809523809525,639.0,18.0,172.0,18.0,17.79622706194573,24.294873867995648,0.11038961038961038,0.24675324675324675,7.464434595996018,9.321297120396624,0.8007935483209234,0.06395348837209303,728.0,37.0,147.0,38.0,9.538058744790533,14.16560066859097,0.21100917431192662,0.5412844036697247,6.371015673459827,8.543713997258328,0.7456962716102484,0.12244897959183673
1,470.0,1.0,233.0,1.0,31.455438848358085,41.789759126422,0.004310344827586207,0.02586206896551724,9.383295395812482,11.456537124779269,0.819034171810731,0.008583690987124463,511.0,5.0,216.0,5.0,26.982792547430336,37.15371713689365,0.037914691943127965,0.08056872037914692,8.630985484509967,11.043238187624086,0.7815629200303333,0.037037037037037035,673.0,17.0,162.0,17.0,14.503744559414145,21.219287048602517,0.13793103448275862,0.296551724137931,7.474677923801333,9.597753376201846,0.7787945398071183,0.11728395061728394,724.0,37.0,148.0,37.0,10.168989749661023,16.551056196784657,0.2072072072072072,0.4774774774774775,6.775722351011371,8.506820658663786,0.7965046664185432,0.21621621621621623
2,1074.0,1.0,79.0,1.0,1.9132011261198159,3.0295749338341467,0.9871794871794872,1.0,2.663859970177075,4.106458480250727,0.648700086215027,0.9873417721518988,1078.0,5.0,78.0,13.0,1.2958547900075246,2.2992374415649013,1.0,1.0,1.977283267966945,3.30421885291523,0.5984117142308649,1.0,1078.0,8.0,78.0,13.0,1.2958547900075246,2.2992374415649013,1.0,1.0,1.977283267966945,3.30421885291523,0.5984117142308649,1.0,1081.0,20.0,78.0,22.0,1.134628763182036,1.76849858880405,1.0,1.0,2.0083127399249485,3.0490367875807447,0.6586712066266811,1.0
3,inf,,,,,,,,,,,,inf,,,,,,,,,,,,inf,,,,,,,,,,,,inf,,,,,,,,,,,
4,1050.0,1.0,82.0,1.0,1.4437844124327057,2.114164020463704,1.0,1.0,0.9191865549909332,1.1332203451408398,0.8111278260510705,1.0,1055.0,5.0,82.0,6.0,0.7010426752260628,1.2008546893330276,1.0,1.0,0.8941946109135503,1.1753269376219502,0.7608050001157827,1.0,1057.0,9.0,81.0,14.0,0.4997227804742579,0.890249774944232,1.0,1.0,0.8878896008234135,1.1693185770218413,0.7593222396968974,1.0,1058.0,21.0,81.0,21.0,0.44464176755036533,0.768415285362653,1.0,1.0,0.9831569961776333,1.2259866723383628,0.8019312267909301,1.0
5,524.0,1.0,211.0,1.0,31.14017298263377,41.22677481590809,0.004761904761904762,0.014285714285714285,9.496766850375867,11.991293785971854,0.7919718272173236,0.018957345971563982,642.0,5.0,171.0,5.0,21.659265855330432,29.488525594295425,0.03614457831325301,0.10240963855421686,9.401288927641852,11.623892757366606,0.8087900606002937,0.03508771929824561,764.0,14.0,137.0,14.0,14.987284031244371,20.142918653133485,0.07317073170731707,0.25203252032520324,8.348504292100449,10.46508067698444,0.797748679612292,0.13138686131386862,815.0,32.0,126.0,32.0,8.849292268926206,13.023938939133725,0.2127659574468085,0.5957446808510638,6.776940837352184,9.852063524943455,0.687870192898607,0.38095238095238093
6,526.0,1.0,210.0,1.0,28.317733604279738,38.283983370474516,0.009569377990430622,0.05741626794258373,9.30381347115432,11.01353383793675,0.844761872806601,0.009523809523809525,626.0,5.0,176.0,5.0,20.919908405996694,28.840494564358096,0.07602339181286549,0.13450292397660818,8.504425635261985,10.392539061063722,0.8183202954823938,0.03409090909090909,754.0,14.0,140.0,14.0,12.434097765061779,17.09213386396027,0.12698412698412698,0.3412698412698413,7.56887283289964,9.7483274663286,0.7764278394466181,0.07857142857142857,876.0,29.0,113.0,29.0,7.800954284930754,11.65905707105576,0.27380952380952384,0.6309523809523809,6.687260699249364,8.367945552247111,0.7991520328969614,0.23008849557522124
7,1084.0,1.0,78.0,3.0,0.45443102628291854,0.6580647510054405,1.0,1.0,0.8255357666614087,0.977472883987948,0.8445612969777149,1.0,1085.0,5.0,77.0,6.0,0.31508259734732746,0.5280270356549863,1.0,1.0,0.7438727538936687,0.8888376661941273,0.8369050752302418,1.0,1086.0,8.0,77.0,13.0,0.2453010593504814,0.4786224508711257,1.0,1.0,0.7236626155864859,0.8798582455509015,0.8224763696263169,1.0,1087.0,20.0,77.0,28.0,0.2003592374787786,0.4467080659307613,1.0,1.0,0.7022037099850555,0.9309272124015723,0.7543057079334224,1.0
8,1131.0,1.0,71.0,1.0,8.112636619096293,11.874091558120972,0.34285714285714286,0.6428571428571429,1.996356851404563,9.667885404892395,0.20649364031500772,0.5352112676056338,1157.0,5.0,68.0,5.0,2.755327761805802,7.158095608621535,0.7142857142857143,0.9365079365079365,1.221483504526434,8.184080108573708,0.14925116669456817,0.7647058823529411,1159.0,7.0,68.0,8.0,2.227098403880632,5.586805965225317,0.7833333333333333,0.9333333333333333,1.041751090295338,1.7250259385337767,0.6039045947220927,0.8235294117647058,1170.0,17.0,67.0,18.0,1.193894434043841,1.9596157358840631,0.9591836734693877,1.0,1.3620820226860642,1.606497853237772,0.8478579787336119,1.0
9,756.0,1.0,139.0,1.0,20.484480236817944,27.040460921581417,0.050724637681159424,0.17391304347826086,7.553769744844967,10.032021717344032,0.7529658485273715,0.16546762589928057,846.0,5.0,119.0,6.0,7.583134405010469,12.637648526869365,0.37168141592920356,0.6902654867256637,4.403037259472567,6.2877645968512885,0.700254787158773,0.6302521008403361,857.0,12.0,116.0,12.0,5.3910990989011225,10.710004770507933,0.46153846153846156,0.75,4.391975494743146,6.121884439034565,0.7174221497450826,0.6379310344827587,870.0,29.0,114.0,29.0,3.917604517993368,8.943105641233116,0.5647058823529412,0.8235294117647058,4.37498692594626,5.626098125593062,0.777623644003735,0.6842105263157895
