function,d,eps,n_runs,n_hits,hit_rate,tau_min,tau_med,tau_max
cec2017_f1,100,0.01,51,51,1.0,688.0,738.0,788.0
cec2017_f11,100,0.01,51,0,0.0,,,
cec2017_f22,100,0.01,51,0,0.0,,,
cec2017_f3,100,0.01,51,51,1.0,706.0,825.0,988.0
