function,d,eps,n_runs,n_hits,hit_rate,tau_min,tau_med,tau_max
cec2017_f1,100,400.0,51,51,1.0,196.0,478.0,512.0
cec2017_f11,100,400.0,51,29,0.5686274509803921,251.0,395.0,1282.0
cec2017_f22,100,400.0,51,0,0.0,,,
cec2017_f3,100,400.0,51,51,1.0,245.0,267.0,315.0
