function,d,eps,n_runs,n_hits,hit_rate,tau_min,tau_med,tau_max
cec2017_f1,100,10.0,51,51,1.0,513.0,564.0,594.0
cec2017_f11,100,10.0,51,0,0.0,,,
cec2017_f22,100,10.0,51,0,0.0,,,
cec2017_f3,100,10.0,51,51,1.0,375.0,430.0,508.0
