function,d,eps,n_runs,n_hits,hit_rate,tau_min,tau_med,tau_max
cec2017_f1,100,1.0,51,51,1.0,570.0,619.0,655.0
cec2017_f11,100,1.0,51,0,0.0,,,
cec2017_f22,100,1.0,51,0,0.0,,,
cec2017_f3,100,1.0,51,51,1.0,478.0,547.0,643.0
