function,d,eps,n_runs,n_hits,hit_rate,tau_min,tau_med,tau_max
cec2017_f1,100,100.0,51,51,1.0,215.0,509.0,544.0
cec2017_f11,100,100.0,51,0,0.0,,,
cec2017_f22,100,100.0,51,0,0.0,,,
cec2017_f3,100,100.0,51,51,1.0,281.0,318.0,382.0
