eps,n_hits,tau_first,tau_median,tau_max,p_hat,clustering
0.01,1,1249,1249.0,1249,1.5698833576665255e-05,0.0
1.0,50,596,701.5,926,0.0013538761474100349,1.587589610494432
10.0,51,366,456.0,522,0.0022069323640140203,1.0776859324957697
100.0,51,10,36.0,73,0.02661795407098121,1.1643698371487814
400.0,51,0,2.0,5,0.5795454545454546,2.9999999999999996
