function,hits,gamma_mean,l2_mean,l3_mean,a_t,p_hat,gap_factor
cec2017_f1,51/51,0.970,0.970,1.000,3.33e-12,9.26e-02,2.9e+10
cec2017_f2,51/51,0.989,0.989,1.000,3.33e-12,5.36e-02,1.6e+10
cec2017_f3,51/51,0.932,0.932,1.000,3.33e-12,6.64e-02,2.1e+10
cec2017_f5,50/51,0.076,0.556,0.146,3.33e-12,3.81e-02,1.5e+11
cec2017_f6,51/51,0.991,0.991,1.000,3.33e-12,1.62e-01,4.9e+10
cec2017_f8,47/51,0.076,0.539,0.144,3.33e-12,3.57e-02,1.4e+11
cec2017_f9,51/51,0.999,0.999,1.000,3.33e-12,1.35e-01,4.0e+10
cec2017_f11,26/51,0.123,0.809,0.184,3.33e-12,2.60e-02,6.3e+10
cec2017_f13,18/51,0.791,0.792,0.999,3.33e-12,2.35e-02,8.9e+09
cec2017_f15,51/51,0.803,0.803,1.000,3.33e-12,3.98e-02,1.5e+10
cec2017_f19,48/51,0.792,0.792,1.000,3.33e-12,3.79e-02,1.4e+10
