function,hits,gamma_mean,l2_mean,l3_mean,a_t,p_hat,gap_factor
cec2017_f1,51/51,0.968,0.968,1.000,3.33e-12,7.34e-02,2.3e+10
cec2017_f2,51/51,0.988,0.988,1.000,3.33e-12,5.25e-02,1.6e+10
cec2017_f3,51/51,0.923,0.923,1.000,3.33e-12,8.20e-02,2.7e+10
cec2017_f4,51/51,1.000,1.000,1.000,3.33e-12,1.30e-01,3.9e+10
cec2017_f5,51/51,0.449,0.534,0.861,3.33e-12,5.09e-02,3.4e+10
cec2017_f6,51/51,1.000,1.000,1.000,3.33e-12,1.96e-01,5.9e+10
cec2017_f7,51/51,0.348,0.515,0.625,3.33e-12,4.41e-02,3.8e+10
cec2017_f8,51/51,0.424,0.475,0.907,3.33e-12,4.38e-02,3.1e+10
cec2017_f9,51/51,0.999,0.999,1.000,3.33e-12,1.74e-01,5.2e+10
cec2017_f11,51/51,0.844,0.844,1.000,3.33e-12,4.31e-02,1.5e+10
cec2017_f13,51/51,0.635,0.635,1.000,3.33e-12,5.21e-02,2.5e+10
cec2017_f14,51/51,0.953,0.953,1.000,3.33e-12,6.61e-02,2.1e+10
cec2017_f15,51/51,0.998,0.998,1.000,3.33e-12,1.18e-01,3.5e+10
cec2017_f16,49/51,0.104,0.781,0.163,3.33e-12,3.76e-02,1.1e+11
cec2017_f17,51/51,0.211,0.802,0.264,3.33e-12,3.85e-02,5.5e+10
cec2017_f18,51/51,0.981,0.981,1.000,3.33e-12,9.50e-02,2.9e+10
cec2017_f19,51/51,0.993,0.993,1.000,3.33e-12,1.18e-01,3.6e+10
cec2017_f20,51/51,0.071,0.636,0.125,3.33e-12,3.85e-02,1.6e+11
