function,hits,gamma_mean,l2_mean,l3_mean,a_t,p_hat,gap_factor
cec2017_f1,51/51,0.959,0.959,1.000,3.33e-12,7.48e-02,2.3e+10
cec2017_f2,51/51,0.988,0.988,1.000,3.33e-12,5.14e-02,1.6e+10
cec2017_f3,51/51,0.916,0.916,1.000,3.33e-12,6.90e-02,2.3e+10
cec2017_f4,51/51,1.000,1.000,1.000,3.33e-12,1.46e-01,4.4e+10
cec2017_f5,51/51,1.000,1.000,1.000,3.33e-12,2.62e-01,7.9e+10
cec2017_f6,51/51,1.000,1.000,1.000,3.33e-12,1.00e+00,3.0e+11
cec2017_f7,51/51,1.000,1.000,1.000,3.33e-12,2.04e-01,6.1e+10
cec2017_f8,51/51,1.000,1.000,1.000,3.33e-12,2.66e-01,8.0e+10
cec2017_f9,51/51,0.999,0.999,1.000,3.33e-12,1.50e-01,4.5e+10
cec2017_f11,51/51,0.855,0.855,1.000,3.33e-12,1.31e-01,4.6e+10
cec2017_f13,51/51,0.980,0.980,1.000,3.33e-12,1.16e-01,3.6e+10
cec2017_f14,51/51,0.920,0.920,1.000,3.33e-12,1.07e-01,3.5e+10
cec2017_f15,51/51,0.998,0.998,1.000,3.33e-12,9.31e-02,2.8e+10
cec2017_f16,51/51,0.307,0.755,0.471,3.33e-12,3.97e-02,3.9e+10
cec2017_f17,51/51,0.543,0.820,0.627,3.33e-12,4.64e-02,2.6e+10
cec2017_f18,51/51,0.977,0.977,1.000,3.33e-12,1.02e-01,3.2e+10
cec2017_f19,51/51,0.992,0.992,1.000,3.33e-12,1.12e-01,3.4e+10
cec2017_f20,51/51,0.278,0.576,0.490,3.33e-12,4.12e-02,4.5e+10
cec2017_f21,51/51,0.993,0.993,1.000,3.33e-12,5.31e-02,1.6e+10
cec2017_f22,51/51,0.824,0.824,1.000,3.33e-12,1.58e-01,5.8e+10
cec2017_f23,51/51,0.250,0.501,0.501,3.33e-12,4.61e-02,5.6e+10
cec2017_f25,51/51,1.000,1.000,1.000,3.33e-12,2.06e-01,6.2e+10
cec2017_f28,36/51,0.999,0.999,1.000,3.33e-12,3.85e-02,1.2e+10
